EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,FTDefRebounds,DefensiveGoaltends,DefFTReboundPct,PenaltyCorner3Frequency,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,PenaltyCorner3FGM,Arc3PctBlocked,PenaltyCorner3Accuracy,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,Transition Take Fouls,on,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,Charge Fouls Drawn,HeaveAttempts,OffensiveGoaltends,BlockedCorner3
1626145,1610612756,Tyus Jones,Tyus Jones,1626145,PHX,26847.0,447,-65.0,915,908,70.0,75.0,78,1823,14.0,17.0,1.0,1.0,2.0,2.0,22.0,43.0,3.0,4.0,8.0,18.0,1.0,3.0,20.0,50.0,1.0,6.0,4.0,39.0,64.0,28.0,68.0,5.0,167.0,1094,1.0,3.0,2.0,9.0,8.0,4.0,6.0,4.0,8.0,30.0,48.0,78.0,6.0,2.0,50.0,20.0,5.0,3.0,48.0,47.0,95.0,32.0,15.0,21.0,18.0,9.0,237.0,6.0,1.0,18.0,15.0,33.0,7.0,40.0,3.0,14.0,6.0,8.0,9.0,3.0,8.0,9.0,1.0,2.0,1.0,18.0,7.0,13.0,1.0,1.0,11.0,4.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,8.0,70.0,0.38461538461538464,0.39473684210526316,0.9285714285714286,0.4117647058823529,0.2222222222222222,0.4117647058823529,0.609375,0.3333333333333333,0.6666666666666666,0.6136363636363636,0.3333333333333333,0.4,0.6185185185185185,0.3333333333333333,0.4,0.5151515151515151,0.04411764705882353,0.078125,0.058823529411764705,0.09302325581395349,0.16666666666666666,15.239043824701197,0.5,0.06880733944954129,0.005376344086021506,0.08571428571428572,0.02643171806167401,0.07710280373831775,0.01694915254237288,0.009708737864077669,0.02857142857142857,0.019230769230769232,0.11594202898550725,0.05454545454545454,0.02564102564102564,0.08333333333333333,0.1,0.05263157894736842,0.5,0.12878787878787878,0.8235294117647058,0.875,0.42857142857142855,0.32575757575757575,0.5116279069767442,0.5641025641025641,0.3181818181818182,0.030303030303030304,0.75,0.75,0.6666666666666666,0.13636363636363635,0.4444444444444444,0.5333333333333333,1.0,0.3787878787878788,0.4,0.4,0.9,0.08333333333333333,1.0,0.25,0.3333333333333333,1.0,0.5,0.16666666666666666,1.0,0.2,1.0,0.4,0.6439393939393939,0.4,0.5334878787878788,0.56364375,0.5253699999999999,0.022222222222222223,0.04477611940298507,0.04790419161676647,0.04790419161676647,7.921875,25.41323529411765,0.07650273224043716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1626164,1610612756,Devin Booker,Devin Booker,1626164,PHX,23458.0,391,-65.0,808,809,90.0,107.0,77,1617,22.0,35.0,2.0,5.0,2.0,2.0,24.0,40.0,18.0,32.0,6.0,10.0,1.0,2.0,20.0,69.0,,4.0,7.0,64.0,107.0,26.0,79.0,41.0,247.0,983,5.0,12.0,1.0,6.0,17.0,7.0,12.0,7.0,33.0,64.0,64.0,63.0,15.0,4.0,69.0,20.0,9.0,,29.0,43.0,72.0,29.0,14.0,18.0,8.0,3.0,187.0,9.0,9.0,9.0,9.0,18.0,18.0,36.0,12.0,8.0,5.0,3.0,18.0,2.0,11.0,8.0,7.0,,3.0,26.0,5.0,19.0,,1.0,43.0,2.0,48.0,21.0,2.0,,,2.0,2.0,33.0,89.0,0.5,0.5161290322580645,0.8076923076923077,0.3291139240506329,0.16666666666666666,0.3291139240506329,0.5981308411214953,0.4166666666666667,0.5833333333333334,0.553763440860215,0.3611111111111111,0.6052631578947368,0.5946601941747572,0.425,0.6875,0.42473118279569894,,0.08411214953271028,0.05714285714285714,0.125,,26.038159371492704,0.6923076923076923,0.04838709677419355,0.056962025316455694,0.046875,0.0430622009569378,0.047619047619047616,0.04904632152588556,0.04819277108433735,0.05421686746987952,,0.03333333333333333,0.06451612903225806,0.030303030303030304,0.04430379746835443,0.058823529411764705,0.13953488372093023,1.0,0.1881720430107527,0.6285714285714286,0.6666666666666666,0.7272727272727273,0.21505376344086022,0.6,0.6857142857142857,0.25,0.17204301075268819,0.5625,0.6,0.5555555555555556,0.053763440860215055,0.6,0.6,1.0,0.3709677419354839,0.2898550724637681,0.2898550724637681,0.75,0.2777777777777778,0.4,0.1111111111111111,0.5,1.0,0.2222222222222222,,,0.10526315789473684,1.0,0.3684210526315789,0.6129032258064516,0.2898550724637681,0.5172475806451614,0.5064954545454545,0.4660526315789474,0.10784313725490197,0.1693548387096774,0.06882591093117409,0.13360323886639677,9.345794392523365,25.887341772151906,0.11138613861386139,3.0,4.0,3.0,10.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0.42857142857142855,0.0625,0.1111111111111111,0.5,0.42857142857142855,0.0125,,,,,,,,,,,,,,,,True,,,,,,
1626220,1610612756,Royce O'Neale,Royce O'Neale,1626220,PHX,16993.0,283,-9.0,576,583,67.0,87.0,64,1159,6.0,12.0,1.0,2.0,1.0,1.0,2.0,7.0,,,6.0,16.0,,1.0,19.0,46.0,4.0,7.0,2.0,8.0,19.0,25.0,62.0,,91.0,659,1.0,2.0,4.0,8.0,14.0,2.0,3.0,3.0,7.0,10.0,6.0,72.0,3.0,,46.0,19.0,2.0,,13.0,11.0,24.0,8.0,3.0,6.0,2.0,5.0,59.0,5.0,5.0,21.0,18.0,44.0,10.0,54.0,3.0,8.0,6.0,2.0,4.0,1.0,1.0,3.0,3.0,,1.0,7.0,10.0,20.0,,1.0,6.0,,3.0,2.0,3.0,,2.0,3.0,2.0,7.0,66.0,0.625,0.625,0.96,0.4032258064516129,0.5,0.4032258064516129,0.42105263157894735,0.5,0.6666666666666666,0.5617283950617284,0.7,0.5833333333333334,0.5548780487804879,0.7,0.5833333333333334,0.7654320987654321,,0.10526315789473684,0.08333333333333333,0.14285714285714285,,13.629402756508423,0.5714285714285714,0.12949640287769784,0.03787878787878788,0.15671641791044777,0.03205128205128205,0.14285714285714285,0.034722222222222224,0.013513513513513514,0.04,,0.14893617021276595,0.1267605633802817,0.09523809523809523,0.14655172413793102,0.2222222222222222,0.06521739130434782,0.6666666666666666,0.14814814814814814,0.5,0.5454545454545454,0.6666666666666666,0.08641975308641975,0.2857142857142857,0.3333333333333333,0.5,,,,,0.19753086419753085,0.375,0.375,1.0,0.5679012345679012,0.41304347826086957,0.41304347826086957,0.9473684210526315,0.2,0.5,0.1,,,0.7,0.5714285714285714,0.75,0.16666666666666666,1.0,0.3333333333333333,0.9135802469135802,0.41304347826086957,0.5596191358024689,0.53585,0.49102500000000004,0.024390243902439025,0.1,0.15384615384615385,0.07692307692307693,3.5578947368421048,25.561290322580643,0.11631944444444445,1.0,,1.0,,,,,,,1.0,,,,1.0,,,0.3333333333333333,,0.11764705882352941,,0.5,,1.0,5.0,1.0,0.5555555555555556,0.16666666666666666,,,,,,,,,,,True,,,,,,
1627814,1610612756,Damion Lee,Damion Lee,1627814,PHX,445.0,7,-9.0,14,15,8.0,,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
203994,1610612756,Jusuf Nurkić,Jusuf Nurkić,203994,PHX,35507.0,592,-69.0,1210,1206,165.0,157.0,115,2416,40.0,64.0,8.0,15.0,5.0,8.0,15.0,40.0,,,5.0,10.0,,1.0,14.0,49.0,1.0,4.0,4.0,55.0,104.0,19.0,59.0,48.0,215.0,1430,10.0,20.0,1.0,5.0,32.0,10.0,13.0,4.0,33.0,74.0,36.0,54.0,3.0,14.0,49.0,14.0,11.0,,29.0,18.0,47.0,13.0,5.0,18.0,7.0,4.0,112.0,15.0,31.0,89.0,89.0,183.0,46.0,229.0,6.0,23.0,9.0,14.0,33.0,5.0,22.0,24.0,11.0,,,57.0,43.0,78.0,,17.0,63.0,2.0,69.0,33.0,16.0,1.0,6.0,16.0,12.0,33.0,164.0,0.6727272727272727,0.7708333333333334,0.9473684210526315,0.3220338983050847,0.2,0.3220338983050847,0.5288461538461539,0.5,0.7692307692307693,0.5122699386503068,0.46,0.7647058823529411,0.5541237113402062,0.48484848484848486,0.75,0.3619631901840491,,0.10576923076923077,0.0625,0.175,,18.65671641791045,0.5789473684210527,0.312280701754386,0.12350597609561753,0.3111888111888112,0.04983388704318937,0.3117338003502627,0.08333333333333333,0.14615384615384616,0.05063291139240506,0.046875,0.2631578947368421,0.33793103448275863,0.3333333333333333,0.31275720164609055,0.3023255813953488,0.07792207792207792,0.75,0.39263803680981596,0.625,0.6666666666666666,0.675,0.24539877300613497,0.375,0.45454545454545453,0.6666666666666666,,,,,0.06134969325153374,0.5,0.5,1.0,0.3006134969325153,0.2857142857142857,0.2857142857142857,0.9285714285714286,0.6,0.5333333333333333,0.04,,,0.16,0.25,1.0,0.47058823529411764,0.625,0.23529411764705882,0.754601226993865,0.2857142857142857,0.548995341614907,0.5423888888888888,0.532528125,0.1736842105263158,0.25190839694656486,0.14883720930232558,0.15348837209302327,3.8913461538461536,26.24067796610169,0.13636363636363635,2.0,9.0,2.0,7.0,2.0,4.0,9.0,5.0,6.0,6.0,,,4.0,9.0,,3.0,0.5,,0.13043478260869565,0.125,0.5,,,5.0,,0.2631578947368421,,3.0,0.057692307692307696,,,,,,,,,True,,,,,,
1628960,1610612756,Grayson Allen,Grayson Allen,1628960,PHX,8434.0,141,-20.0,293,288,81.0,80.0,31,581,5.0,8.0,,,3.0,4.0,1.0,5.0,,,4.0,7.0,1.0,1.0,6.0,29.0,1.0,6.0,5.0,6.0,13.0,10.0,36.0,7.0,49.0,344,,,2.0,7.0,6.0,3.0,4.0,8.0,21.0,12.0,,27.0,3.0,,29.0,6.0,3.0,1.0,,3.0,3.0,3.0,,,,,9.0,3.0,2.0,5.0,9.0,16.0,5.0,21.0,,6.0,2.0,4.0,4.0,,3.0,1.0,1.0,,,5.0,2.0,9.0,,,6.0,,8.0,2.0,3.0,,2.0,3.0,3.0,21.0,81.0,1.0,1.0,0.9,0.2777777777777778,0.2857142857142857,0.2777777777777778,0.46153846153846156,,0.75,0.42857142857142855,0.42857142857142855,0.75,0.46226415094339623,0.42857142857142855,0.75,0.7346938775510204,0.027777777777777776,0.23076923076923078,0.125,0.4,,17.62917933130699,0.8,0.13636363636363635,0.04,0.07246376811594203,0.03529411764705882,0.1037037037037037,0.037037037037037035,0.05,0.027777777777777776,0.07692307692307693,0.13043478260869565,0.1388888888888889,0.14285714285714285,0.09259259259259259,,,1.0,0.16326530612244897,0.625,0.7142857142857143,1.0,0.10204081632653061,0.2,0.3333333333333333,1.0,,,,,0.14285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.5918367346938775,0.20689655172413793,0.21428571428571427,0.8333333333333334,,,0.14285714285714285,1.0,1.0,0.8571428571428571,0.16666666666666666,1.0,0.3333333333333333,0.75,0.4166666666666667,0.8979591836734694,0.20689655172413793,0.5485367346938775,0.5211,0.5766541666666667,0.0392156862745098,0.13333333333333333,0.12244897959183673,0.42857142857142855,3.7538461538461543,26.002777777777773,0.2764505119453925,2.0,,4.0,3.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,2.0,0.5,,0.047619047619047616,,0.4,,3.0,2.0,,0.4,0.25,1.0,,2.0,0.034482758620689655,0.6666666666666666,,,,,,True,,,,,,
1629006,1610612756,Josh Okogie,Josh Okogie,1629006,PHX,3893.0,65,-28.0,125,128,12.0,13.0,26,253,6.0,11.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,5.0,,2.0,,3.0,,1.0,,9.0,17.0,3.0,8.0,6.0,33.0,158,4.0,4.0,,3.0,11.0,2.0,2.0,1.0,7.0,10.0,8.0,9.0,,4.0,3.0,,4.0,,,2.0,2.0,2.0,,,,,6.0,5.0,3.0,5.0,1.0,6.0,8.0,14.0,,4.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,,1.0,6.0,2.0,5.0,1.0,,9.0,1.0,10.0,6.0,,,,,,7.0,12.0,0.5555555555555556,0.7142857142857143,1.0,0.375,,0.375,0.5294117647058824,1.0,1.0,0.54,0.5714285714285714,1.1666666666666667,0.5689655172413793,0.6111111111111112,1.1666666666666667,0.32,,0.23529411764705882,0.2727272727272727,0.2,,22.151898734177212,0.5,0.034482758620689655,0.07692307692307693,0.1724137931034483,0.125,0.10344827586206896,0.10126582278481013,0.125,0.14705882352941177,,0.07142857142857142,,,0.21739130434782608,,,,0.44,0.5454545454545454,0.75,0.3333333333333333,0.2,0.4,0.5,1.0,0.04,1.0,1.0,1.0,0.2,0.6,0.6,1.0,0.12,,,,0.5714285714285714,1.0,0.2857142857142857,,,0.14285714285714285,,,0.3333333333333333,1.0,,0.76,,0.585302,0.60465,0.5681833333333334,0.20689655172413793,0.2857142857142857,0.3333333333333333,0.21212121212121213,3.9411764705882355,23.962500000000002,0.096,,3.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,0.058823529411764705,0.25,,,1.0,,,,0.3333333333333333,1.0,,1.0,,1.0,,,,,,True,,,,,,
1642345,1610612756,Oso Ighodaro,Oso Ighodaro,1642345,PHX,1087.0,18,2.0,38,38,13.0,8.0,3,76,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,28,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,1.0,,5.0,,,3.0,2.0,5.0,,5.0,,,,,,1.0,,2.0,,,,2.0,2.0,4.0,1.0,,,,,,1.0,,,1.0,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,7.142857142857143,,0.16666666666666666,,0.2727272727272727,,0.21739130434782608,,,,,0.16666666666666666,0.2,,0.3333333333333333,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.5164,,0.5164,,,,,3.1,,0.34210526315789475,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1642346,1610612756,Ryan Dunn,Ryan Dunn,1642346,PHX,11042.0,184,-11.0,372,368,38.0,50.0,44,740,8.0,9.0,2.0,3.0,1.0,1.0,6.0,11.0,1.0,2.0,7.0,19.0,1.0,1.0,5.0,14.0,,2.0,4.0,15.0,22.0,12.0,33.0,3.0,69.0,440,2.0,5.0,1.0,3.0,7.0,2.0,3.0,5.0,10.0,24.0,6.0,36.0,,4.0,14.0,5.0,4.0,,1.0,9.0,10.0,5.0,4.0,1.0,,,29.0,2.0,3.0,10.0,6.0,16.0,6.0,22.0,,7.0,6.0,1.0,2.0,,2.0,3.0,,,1.0,5.0,14.0,24.0,,1.0,4.0,,6.0,3.0,3.0,1.0,,4.0,2.0,10.0,38.0,0.8,0.9230769230769231,1.0,0.36363636363636365,0.3333333333333333,0.36363636363636365,0.6818181818181818,0.4,0.6666666666666666,0.6,0.4375,0.625,0.5948275862068966,0.4375,0.625,0.6,,0.18181818181818182,,0.36363636363636365,,15.07177033492823,0.4,0.075,0.038461538461538464,0.11904761904761904,0.02,0.0975609756097561,0.028089887640449437,0.023809523809523808,0.014084507042253521,0.034482758620689655,0.07407407407407407,0.05,0.15384615384615385,0.136986301369863,,,0.5,0.16363636363636364,0.8888888888888888,0.8888888888888888,0.625,0.2,0.5454545454545454,0.8571428571428571,1.0,0.03636363636363636,0.5,0.5,1.0,0.34545454545454546,0.3684210526315789,0.3684210526315789,1.0,0.2545454545454545,0.35714285714285715,0.35714285714285715,1.0,0.375,0.6666666666666666,0.125,1.0,1.0,0.25,,,0.125,1.0,0.5,0.7636363636363637,0.35714285714285715,0.5497636363636363,0.5221,0.51008125,0.05172413793103448,0.12,0.10144927536231885,0.14492753623188406,6.072727272727272,24.169696969696965,0.10215053763440861,1.0,,2.0,,1.0,1.0,,,,,,,,2.0,,,0.4,,,,0.25,,1.0,,1.0,,0.125,1.0,0.13333333333333333,1.0,,1.0,1.0,1.0,1.0,0.09090909090909091,,True,,,,,,
201142,1610612756,Kevin Durant,Kevin Durant,201142,PHX,25343.0,422,,863,858,128.0,79.0,62,1721,22.0,28.0,1.0,2.0,2.0,3.0,32.0,64.0,25.0,49.0,3.0,13.0,,,26.0,61.0,2.0,3.0,10.0,79.0,141.0,29.0,74.0,47.0,292.0,999,3.0,8.0,2.0,3.0,13.0,13.0,26.0,12.0,50.0,64.0,94.0,69.0,18.0,,61.0,26.0,4.0,,31.0,14.0,45.0,8.0,6.0,23.0,6.0,2.0,104.0,2.0,3.0,35.0,30.0,69.0,5.0,74.0,2.0,9.0,7.0,2.0,22.0,2.0,15.0,10.0,7.0,3.0,1.0,32.0,8.0,15.0,1.0,,49.0,1.0,54.0,22.0,12.0,,8.0,12.0,8.0,50.0,127.0,0.4050632911392405,0.4050632911392405,0.7931034482758621,0.3918918918918919,0.6666666666666666,0.3918918918918919,0.5602836879432624,0.375,0.5,0.5697674418604651,0.5454545454545454,0.5,0.6071428571428571,0.5909090909090909,0.5444444444444444,0.34418604651162793,,0.028368794326241134,0.07142857142857142,0.03125,,29.032258064516128,0.6875,0.14492753623188406,0.01744186046511628,0.1590909090909091,0.0106951871657754,0.1522248243559719,0.013927576601671309,0.02127659574468085,0.013513513513513514,,0.1,0.12612612612612611,0.2777777777777778,0.140625,0.2857142857142857,0.0196078431372549,0.6666666666666666,0.13023255813953488,0.7857142857142857,0.8461538461538461,0.6818181818181818,0.29767441860465116,0.5,0.5161290322580645,0.28125,0.22790697674418606,0.5102040816326531,0.5102040816326531,0.32,0.06046511627906977,0.23076923076923078,0.23076923076923078,1.0,0.2837209302325581,0.4262295081967213,0.4262295081967213,0.7692307692307693,0.18181818181818182,0.5,,,,0.2727272727272727,0.6666666666666666,1.0,0.07894736842105263,0.6666666666666666,0.2631578947368421,0.4744186046511628,0.4262295081967213,0.5043253488372094,0.48824375,0.45407105263157893,0.09829059829059829,0.13836477987421383,0.04452054794520548,0.17123287671232876,10.670212765957444,25.58108108108108,0.14831981460023175,3.0,1.0,4.0,12.0,2.0,1.0,3.0,,1.0,4.0,3.0,1.0,4.0,4.0,,4.0,0.3333333333333333,,0.02631578947368421,,0.3,0.013333333333333334,2.0,4.0,,0.2857142857142857,0.05263157894736842,2.0,,1.0,,0.5,,,,,1.0,True,,,,,,
203078,1610612756,Bradley Beal,Bradley Beal,203078,PHX,18431.0,307,-62.0,635,626,104.0,88.0,48,1261,24.0,29.0,1.0,2.0,4.0,6.0,9.0,24.0,6.0,16.0,8.0,13.0,2.0,2.0,19.0,42.0,1.0,3.0,3.0,39.0,69.0,27.0,55.0,12.0,171.0,778,1.0,2.0,3.0,5.0,11.0,5.0,11.0,5.0,27.0,48.0,30.0,72.0,9.0,2.0,42.0,19.0,4.0,1.0,13.0,14.0,27.0,9.0,5.0,7.0,3.0,3.0,68.0,2.0,4.0,5.0,11.0,17.0,6.0,23.0,,11.0,6.0,5.0,11.0,1.0,6.0,3.0,5.0,1.0,1.0,14.0,21.0,24.0,,,15.0,1.0,14.0,4.0,4.0,,2.0,4.0,3.0,25.0,103.0,0.6153846153846154,0.631578947368421,0.8888888888888888,0.4909090909090909,0.6,0.4909090909090909,0.5652173913043478,0.5,0.45454545454545453,0.6411290322580645,0.7857142857142857,0.59375,0.6526717557251909,0.7857142857142857,0.675,0.4435483870967742,0.01818181818181818,0.057971014492753624,,0.125,,21.075581395348838,0.7857142857142857,0.07333333333333333,0.031746031746031744,0.035211267605633804,0.014285714285714285,0.0547945205479452,0.022556390977443608,0.01639344262295082,0.009345794392523364,0.030303030303030304,0.09803921568627451,0.025974025974025976,0.18181818181818182,0.008403361344537815,0.17391304347826086,,0.75,0.23387096774193547,0.8275862068965517,0.8275862068965517,0.5833333333333334,0.1935483870967742,0.375,0.42857142857142855,0.6666666666666666,0.12903225806451613,0.375,0.4,0.6666666666666666,0.10483870967741936,0.6153846153846154,0.6153846153846154,1.0,0.3387096774193548,0.4523809523809524,0.4634146341463415,0.8421052631578947,0.2857142857142857,0.5,0.2857142857142857,1.0,1.0,0.42857142857142855,0.3333333333333333,1.0,0.375,0.6666666666666666,0.1875,0.6774193548387096,0.4523809523809524,0.539322177419355,0.5694375,0.520371875,0.03125,0.0547945205479452,0.06432748538011696,0.15789473684210525,7.8536231884057965,25.143636363636364,0.16377952755905512,2.0,,3.0,8.0,,,2.0,1.0,2.0,,,,3.0,2.0,,2.0,0.6,0.0625,,,0.6666666666666666,,2.0,1.0,,0.08333333333333333,0.125,1.0,0.09375,1.0,0.023809523809523808,0.5,,,,,,True,,,,,,
1628420,1610612756,Monté Morris,Monté Morris,1628420,PHX,5393.0,90,-16.0,181,183,49.0,41.0,19,364,2.0,5.0,,,,1.0,,5.0,2.0,5.0,3.0,6.0,,,,6.0,,1.0,1.0,4.0,15.0,3.0,12.0,10.0,27.0,195,1.0,1.0,,1.0,2.0,,5.0,2.0,7.0,8.0,,9.0,,,6.0,,3.0,,5.0,,5.0,,,2.0,2.0,1.0,10.0,1.0,,6.0,4.0,10.0,1.0,11.0,,2.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,,,6.0,3.0,4.0,,,6.0,,10.0,5.0,,,,1.0,,7.0,49.0,1.0,1.0,1.0,0.25,,0.25,0.26666666666666666,1.0,,0.3148148148148148,0.5,0.21428571428571427,0.421875,0.5,0.3888888888888889,0.4444444444444444,,0.2,0.4,,,18.53658536585366,0.6666666666666666,0.08695652173913043,,0.13043478260869565,0.021739130434782608,0.10869565217391304,0.011111111111111112,,0.02702702702702703,,0.15,0.045454545454545456,,0.14285714285714285,,,,0.18518518518518517,0.4,0.6666666666666666,1.0,0.18518518518518517,,,,0.18518518518518517,0.4,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,,,,,,,,,0.5,,,0.14285714285714285,,0.14285714285714285,0.6296296296296297,,0.49836481481481476,,0.46817857142857144,0.15625,0.25,0.07407407407407407,0.25925925925925924,9.753333333333332,24.891666666666666,0.27071823204419887,,,1.0,4.0,,,1.0,,,,,,,,,,0.5,0.2,,,,,1.0,,,,0.14285714285714285,1.0,,1.0,,1.0,,1.0,1.0,,,True,,,,,,
203486,1610612756,Mason Plumlee,Mason Plumlee,203486,PHX,563.0,9,5.0,17,17,,,2,34,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,19,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,10.526315789473685,,,,0.3333333333333333,,0.16666666666666666,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4311,0.4311,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
