EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,Offensive Fouls,Blocked3s,BlockedArc3,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,BlocksRecoveredPct,PenaltyFtPoints,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedAtRim,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffensiveGoaltends,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,BlockedLongMidRange,LongMidRangePctBlocked,on,3pt And 1 Free Throw Trips
1629008,1610612751,Michael Porter Jr.,Michael Porter Jr.,1629008,BKN,9223.5,154,-49,313,315,62,70,39.0,628,13,19,3.0,3.0,3.0,4.0,5.0,15.0,5.0,8.0,1.0,4.0,25.0,48.0,1.0,1.0,4.0,7.0,23,42,26.0,52.0,6.0,130,429,4.0,6.0,1.0,1.0,11.0,3.0,8.0,4.0,7.0,18.0,28.0,18.0,66.0,12.0,4.0,48.0,25.0,6.0,16.0,4.0,20.0,2.0,2.0,13.0,2.0,1.0,44.0,4.0,1.0,11.0,10,2.0,23,5.0,28,2.0,9.0,8.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,7.0,5.0,2.0,10,2.0,12.0,11.0,2.0,6.0,1.0,1.0,1.0,1.0,18.0,62,1.0,0.6086956521739131,0.6666666666666666,0.8461538461538461,0.5,1.0,0.5714285714285714,0.5,0.5476190476190477,0.6666666666666666,0.375,0.6595744680851063,0.7857142857142857,0.6,0.6565656565656566,0.7857142857142857,0.6,0.5531914893617021,0.14285714285714285,0.10526315789473684,0.26666666666666666,29.166666666666664,0.5714285714285714,0.2,0.16129032258064516,0.0136986301369863,0.2037037037037037,0.05555555555555555,0.1810344827586207,0.034482758620689655,0.03125,0.03571428571428571,0.125,0.13043478260869565,0.17857142857142858,0.18181818181818182,0.21951219512195122,0.15384615384615385,0.05128205128205128,0.20212765957446807,0.6842105263157895,0.7647058823529411,0.5384615384615384,0.1595744680851064,0.3333333333333333,0.45454545454545453,0.8,0.0851063829787234,0.625,0.625,0.6,0.0425531914893617,0.25,0.25,1.0,0.5106382978723404,0.5208333333333334,0.5208333333333334,0.84,0.42857142857142855,1.0,0.3333333333333333,0.14285714285714285,1.0,0.26666666666666666,0.75,0.4666666666666667,0.5714285714285714,0.7553191489361702,0.5208333333333334,0.5331617021276595,0.42197500000000004,0.5332466666666666,0.061224489795918366,0.13043478260869565,0.08461538461538462,0.13846153846153847,7.476190476190476,25.375,0.19808306709265175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629611,1610612751,Terance Mann,Terance Mann,1629611,BKN,9807.3,163,-44,338,332,56,56,43.0,670,11,14,2.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,7.0,5.0,14.0,2.0,2.0,,2.0,17,24,7.0,21.0,2.0,57,406,2.0,6.0,3.0,3.0,14.0,4.0,4.0,,2.0,8.0,22.0,12.0,18.0,3.0,4.0,14.0,5.0,1.0,10.0,9.0,19.0,6.0,3.0,6.0,4.0,,47.0,2.0,4.0,6.0,7,2.0,15,6.0,21,,6.0,1.0,5.0,4.0,2.0,2.0,3.0,2.0,,7.0,,9.0,18,5.0,5.0,4.0,1.0,2.0,1.0,,,,8.0,56,2.0,0.6470588235294118,0.7333333333333333,0.8571428571428571,0.3333333333333333,1.0,,0.3333333333333333,0.7083333333333334,0.3333333333333333,1.0,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.6063829787234043,0.7,0.6666666666666666,0.4666666666666667,0.041666666666666664,0.07142857142857142,,13.766233766233766,0.5714285714285714,0.2857142857142857,0.09859154929577464,0.05128205128205128,0.09523809523809523,0.023809523809523808,0.09701492537313433,0.037037037037037035,0.03571428571428571,0.014925373134328358,0.058823529411764705,0.041666666666666664,0.11428571428571428,0.16666666666666666,0.08,0.15384615384615385,,0.3111111111111111,0.7857142857142857,0.8461538461538461,0.6363636363636364,0.1111111111111111,0.4,0.4,0.5,0.1111111111111111,0.8,0.8,0.75,0.15555555555555556,0.2857142857142857,0.2857142857142857,1.0,0.3111111111111111,0.35714285714285715,0.35714285714285715,0.8,0.4444444444444444,0.5,,0.2222222222222222,1.0,0.5,1.0,0.3333333333333333,,0.7777777777777778,0.35714285714285715,0.5699733333333333,0.5474625000000001,0.624975,0.043478260869565216,0.08,0.24561403508771928,0.14035087719298245,6.162500000000001,24.871428571428574,0.16568047337278108,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.06666666666666667,0.1111111111111111,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629651,1610612751,Nic Claxton,Nic Claxton,1629651,BKN,12157.300000000001,203,-106,427,427,63,101,37.0,854,32,39,9.0,9.0,3.0,4.0,6.0,26.0,,,,,,1.0,,,,1.0,38,65,,1.0,6.0,82,538,9.0,9.0,,,18.0,3.0,7.0,,1.0,6.0,50.0,26.0,,,12.0,1.0,,5.0,11.0,12.0,23.0,10.0,2.0,6.0,4.0,1.0,58.0,3.0,11.0,11.0,15,2.0,28,14.0,42,5.0,8.0,7.0,1.0,4.0,,2.0,5.0,2.0,,9.0,1.0,6.0,23,8.0,22.0,11.0,1.0,5.0,1.0,1.0,1.0,2.0,6.0,63,5.0,0.6578947368421053,0.78125,,,,,,0.5846153846153846,1.0,0.42857142857142855,0.5757575757575758,1.0,0.375,0.5774647887323944,1.0,0.3333333333333333,0.015151515151515152,0.07692307692307693,0.05128205128205128,0.11538461538461539,17.204301075268816,0.4444444444444444,0.2,0.18292682926829268,0.11458333333333333,0.125,0.030612244897959183,0.15294117647058825,0.07216494845360824,0.10526315789473684,0.04054054054054054,,0.09090909090909091,0.21875,0.29411764705882354,0.11764705882352941,0.15,0.21739130434782608,0.5909090909090909,0.8205128205128205,0.8648648648648649,0.6875,0.3939393939393939,0.23076923076923078,0.2608695652173913,0.5,,,,,,,,,0.015151515151515152,,,,1.0,1.0,0.2222222222222222,,,0.5,0.75,0.125,,0.6060606060606061,,0.5782780303030303,0.6741999999999999,0.44678124999999996,0.07142857142857142,0.07246376811594203,0.21951219512195122,0.07317073170731707,4.233846153846154,25.5,0.14754098360655737,,,,,,5.0,,,0.13043478260869565,,,,,4.0,1.0,1.0,2.0,1.0,1.0,0.08333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,True,
1630560,1610612751,Cam Thomas,Cam Thomas,1630560,BKN,8177.900000000001,136,-44,276,281,68,81,36.0,557,1,5,,,,2.0,15.0,22.0,4.0,9.0,1.0,2.0,6.0,24.0,,,2.0,5.0,20,36,7.0,26.0,22.0,83,358,2.0,4.0,,,6.0,5.0,11.0,2.0,5.0,28.0,14.0,26.0,12.0,9.0,,24.0,6.0,3.0,8.0,8.0,16.0,5.0,3.0,6.0,2.0,,40.0,2.0,1.0,4.0,1,1.0,6,3.0,9,2.0,,,,10.0,3.0,5.0,5.0,5.0,1.0,15.0,5.0,1.0,4,,23.0,25.0,2.0,8.0,4.0,1.0,1.0,1.0,28.0,68,1.0,0.35,0.35,0.5714285714285714,0.2692307692307692,,0.4,0.2692307692307692,0.5555555555555556,0.5,0.45454545454545453,0.49193548387096775,0.5,0.5,0.5684931506849316,0.6,0.6086956521739131,0.41935483870967744,0.08333333333333333,0.4,0.045454545454545456,27.848101265822784,0.6666666666666666,0.07692307692307693,0.017543859649122806,0.016129032258064516,0.0851063829787234,0.03278688524590164,0.04807692307692308,0.024390243902439025,,0.041666666666666664,,,,0.14285714285714285,0.10526315789473684,,0.06666666666666667,0.08064516129032258,0.2,0.3333333333333333,1.0,0.3548387096774194,0.6818181818181818,0.7142857142857143,0.3333333333333333,0.14516129032258066,0.4444444444444444,0.4444444444444444,0.25,0.03225806451612903,0.5,0.5,1.0,0.3870967741935484,0.25,0.25,0.5,,,,,,0.125,,0.3125,0.4,0.5,0.25,0.4790122950819672,0.4061,0.47172187499999996,0.13043478260869565,0.19047619047619047,0.07228915662650602,0.3373493975903614,10.227777777777778,27.207692307692305,0.2463768115942029,,,2.0,,1.0,,,,0.02631578947368421,,,,,,,,,,4.0,,,12.0,1.0,1.0,0.037037037037037035,,,,,,,,,,,,,,,,,,,True,
1642879,1610612751,Ben Saraf,Ben Saraf,1642879,BKN,50917.100000000006,849,-199,1737,1742,485,586,209.0,3479,66,117,6.0,9.0,21.0,41.0,26.0,76.0,,5.0,3.0,16.0,13.0,64.0,3.0,8.0,5.0,19.0,92,198,16.0,80.0,70.0,302,2034,7.0,16.0,3.0,8.0,26.0,26.0,60.0,5.0,20.0,99.0,64.0,120.0,39.0,9.0,8.0,64.0,13.0,43.0,75.0,63.0,138.0,47.0,16.0,43.0,26.0,6.0,339.0,11.0,7.0,33.0,29,6.0,68,18.0,86,2.0,35.0,25.0,10.0,65.0,5.0,42.0,29.0,23.0,5.0,94.0,23.0,42.0,74,4.0,68.0,84.0,7.0,35.0,9.0,6.0,3.0,7.0,99.0,484,8.0,0.34782608695652173,0.36363636363636365,0.8125,0.2,0.375,0.25,0.2,0.46464646464646464,0.4375,0.43333333333333335,0.4172661870503597,0.4791666666666667,0.41875,0.4778481012658228,0.5,0.5051020408163265,0.28776978417266186,0.21717171717171718,0.2222222222222222,0.2236842105263158,20.801623541349567,0.6914893617021277,0.1,0.07880434782608696,0.018518518518518517,0.09322033898305085,0.02576112412177986,0.08587257617728532,0.02236024844720497,0.012578616352201259,0.022082018927444796,0.03636363636363636,0.061068702290076333,0.07734806629834254,0.125,0.0916030534351145,0.09782608695652174,0.016666666666666666,0.420863309352518,0.5641025641025641,0.7252747252747253,0.3787878787878788,0.2733812949640288,0.34210526315789475,0.4406779661016949,0.2692307692307692,0.017985611510791366,,,,0.05755395683453238,0.1875,0.2,1.0,0.2302158273381295,0.203125,0.20634920634920634,0.7692307692307693,0.375,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.375,0.5125,0.5121951219512195,0.2375,0.2631578947368421,0.7086330935251799,0.203125,0.5437242805755398,0.5337681818181819,0.540524375,0.11726384364820847,0.15486725663716813,0.08609271523178808,0.32781456953642385,4.416666666666666,25.493750000000006,0.279217040875072,,,3.0,3.0,2.0,2.0,4.0,,0.025906735751295335,,,,0.3333333333333333,4.0,1.0,,4.0,,9.0,,0.5714285714285714,32.0,,1.0,0.012345679012345678,1.0,2.0,9.0,1.0,3.0,1.0,0.025,0.0625,0.015625,0.0125,,,,,,,,,True,
1630592,1610612751,Jalen Wilson,Jalen Wilson,1630592,BKN,13079.3,218,-38,449,450,134,171,61.0,899,8,12,,1.0,1.0,1.0,6.0,19.0,,,6.0,11.0,6.0,32.0,,4.0,1.0,6.0,14,31,12.0,43.0,9.0,73,501,2.0,4.0,,4.0,5.0,2.0,4.0,3.0,10.0,14.0,18.0,10.0,33.0,3.0,2.0,32.0,6.0,2.0,4.0,10.0,14.0,6.0,4.0,4.0,,,38.0,1.0,3.0,13.0,10,3.0,26,4.0,30,2.0,5.0,4.0,1.0,3.0,1.0,,6.0,3.0,,9.0,2.0,11.0,25,2.0,16.0,16.0,3.0,9.0,,,,,14.0,134,3.0,0.6428571428571429,0.6923076923076923,0.9166666666666666,0.27906976744186046,,0.3,0.27906976744186046,0.45161290322580644,0.5,0.5,0.43243243243243246,0.25,0.4642857142857143,0.45625,0.3125,0.4666666666666667,0.581081081081081,0.06451612903225806,0.08333333333333333,0.05263157894736842,17.248062015503876,0.3333333333333333,0.15789473684210525,0.10204081632653061,0.027777777777777776,0.13402061855670103,0.008928571428571428,0.11794871794871795,0.01818181818181818,0.02564102564102564,0.011363636363636364,,0.058823529411764705,0.11363636363636363,0.15,0.12162162162162163,0.17391304347826086,0.043478260869565216,0.16216216216216217,0.6666666666666666,0.7272727272727273,0.625,0.25675675675675674,0.3157894736842105,0.3333333333333333,0.6666666666666666,,,,,0.14864864864864866,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.43243243243243246,0.1875,0.1875,1.0,0.125,,,0.5,,0.07142857142857142,1.0,0.42857142857142855,0.16666666666666666,0.7432432432432432,0.1875,0.5207182432432433,0.48882000000000003,0.5174821428571429,0.1125,0.24324324324324326,0.0684931506849315,0.1917808219178082,4.9161290322580635,25.60465116279069,0.2984409799554566,,,1.0,,,,2.0,,0.03225806451612903,,,,,,,,,,,,,1.0,2.0,,,4.0,,2.0,,,,,,,0.2857142857142857,2.0,0.5,,,,,,,True,
1641730,1610612751,Noah Clowney,Noah Clowney,1641730,BKN,6376.4,106,-16,214,217,58,55,21.0,431,6,11,,1.0,2.0,3.0,3.0,7.0,1.0,2.0,3.0,5.0,4.0,16.0,,1.0,,3.0,10,20,7.0,21.0,7.0,48,253,,2.0,,1.0,,3.0,5.0,1.0,6.0,14.0,14.0,6.0,18.0,3.0,,16.0,4.0,1.0,3.0,4.0,7.0,2.0,2.0,1.0,1.0,1.0,18.0,,1.0,11.0,9,1.0,21,1.0,22,1.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,,,7.0,5.0,7.0,11,,10.0,11.0,1.0,5.0,1.0,5.0,1.0,5.0,14.0,58,1.0,0.7,0.7,0.8571428571428571,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.5,,0.6,0.5,,0.4090909090909091,0.5217391304347826,,0.4666666666666667,0.5121951219512195,0.05,0.09090909090909091,,22.268907563025213,0.5714285714285714,0.25,0.1836734693877551,0.022222222222222223,0.22448979591836735,,0.20408163265306123,0.010416666666666666,0.041666666666666664,,,0.16666666666666666,0.18518518518518517,0.25,0.2702702702702703,0.08333333333333333,0.045454545454545456,0.2682926829268293,0.5454545454545454,0.6,0.5,0.17073170731707318,0.42857142857142855,0.42857142857142855,1.0,0.04878048780487805,0.5,0.5,1.0,0.12195121951219512,0.6,0.6,1.0,0.3902439024390244,0.25,0.26666666666666666,0.75,0.3333333333333333,,,0.3333333333333333,,0.2727272727272727,0.6666666666666666,0.2727272727272727,,0.7804878048780488,0.25,0.5595524390243902,0.53225,0.5575181818181817,0.1111111111111111,0.20833333333333334,,0.2916666666666667,5.715,25.214285714285715,0.27102803738317754,,,,,1.0,,,,,,,,,1.0,,,2.0,,1.0,,0.4,5.0,,,,3.0,1.0,1.0,,4.0,,0.047619047619047616,,0.0625,0.2727272727272727,1.0,0.3333333333333333,,,,,,,True,
1642856,1610612751,Egor Dëmin,Egor Dëmin,1642856,BKN,1356.5,23,14,49,49,26,21,4.0,98,1,1,,,,,,,,,,1.0,,2.0,,,,2.0,1,1,,3.0,4.0,6,45,,,,,,,,,3.0,2.0,2.0,,,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,1,,2,,2,,1.0,1.0,,,,,,,,,,1.0,1,,3.0,5.0,,1.0,,,,,2.0,26,,1.0,1.0,,,,,,1.0,,,0.25,,,0.5,,0.25,0.75,,,,11.320754716981131,,,0.14285714285714285,,0.1111111111111111,,0.125,,,,,0.3333333333333333,,,,0.5,,0.25,1.0,1.0,1.0,,,,,,,,,0.25,,,,0.5,,,,,,,,,,,0.6666666666666666,,1.0,,0.44052499999999994,,0.4167,0.3333333333333333,0.5,,0.3333333333333333,3.0,28.23333333333333,0.5306122448979592,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,0.25,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,True,
1642874,1610612751,Danny Wolf,Danny Wolf,1642874,BKN,19612.199999999997,327,-49,667,661,182,223,91.0,1328,25,44,4.0,5.0,5.0,9.0,10.0,23.0,2.0,5.0,3.0,15.0,18.0,49.0,,4.0,5.0,12.0,37,72,21.0,64.0,34.0,171,729,5.0,7.0,,4.0,16.0,10.0,18.0,5.0,15.0,50.0,46.0,28.0,60.0,3.0,6.0,49.0,18.0,5.0,27.0,8.0,35.0,7.0,1.0,23.0,3.0,1.0,78.0,7.0,9.0,26.0,50,3.0,79,16.0,95,2.0,5.0,5.0,,17.0,4.0,14.0,8.0,3.0,2.0,25.0,7.0,25.0,35,2.0,28.0,39.0,3.0,17.0,4.0,6.0,3.0,7.0,50.0,182,,0.6216216216216216,0.6764705882352942,0.9523809523809523,0.328125,,0.3333333333333333,0.328125,0.5138888888888888,0.7142857142857143,0.5555555555555556,0.5036764705882353,0.45454545454545453,0.5303030303030303,0.5551948051948052,0.5714285714285714,0.625,0.47058823529411764,0.06944444444444445,0.06818181818181818,0.08695652173913043,23.307291666666668,0.68,0.2,0.3225806451612903,0.06716417910447761,0.18439716312056736,0.041176470588235294,0.25675675675675674,0.05263157894736842,0.08695652173913043,0.031496062992125984,0.06976744186046512,0.375,0.3157894736842105,0.21739130434782608,0.18556701030927836,0.18181818181818182,0.028169014084507043,0.3235294117647059,0.5681818181818182,0.6097560975609756,0.6,0.16911764705882354,0.43478260869565216,0.47619047619047616,0.6,0.03676470588235294,0.4,0.4,1.0,0.11029411764705882,0.2,0.2,1.0,0.3602941176470588,0.3673469387755102,0.3673469387755102,0.9444444444444444,0.45454545454545453,0.8,0.25,0.36363636363636365,,0.2727272727272727,0.5555555555555556,0.36363636363636365,0.4166666666666667,0.7941176470588235,0.3673469387755102,0.5336227941176471,0.5076214285714286,0.5317939393939395,0.11333333333333333,0.19767441860465115,0.0935672514619883,0.29239766081871343,4.838888888888889,25.6125,0.272863568215892,,,6.0,,3.0,2.0,,2.0,0.05263157894736842,,,,,,1.0,,3.0,,4.0,,0.42857142857142855,15.0,2.0,,,3.0,,,,3.0,1.0,,,,0.09090909090909091,,,,,,,,,True,
1630549,1610612751,Day'Ron Sharpe,Day'Ron Sharpe,1630549,BKN,16345.5,272,-14,561,561,184,186,86.0,1122,47,65,26.0,32.0,14.0,21.0,12.0,24.0,,1.0,2.0,4.0,1.0,6.0,,,1.0,4.0,59,90,3.0,10.0,26.0,153,610,27.0,34.0,,,65.0,19.0,31.0,1.0,4.0,53.0,66.0,52.0,9.0,,36.0,6.0,1.0,7.0,22.0,8.0,30.0,8.0,,14.0,6.0,2.0,68.0,21.0,24.0,21.0,31,10.0,62,45.0,107,6.0,20.0,13.0,7.0,8.0,1.0,5.0,17.0,3.0,2.0,25.0,10.0,16.0,41,4.0,32.0,40.0,4.0,17.0,5.0,7.0,4.0,7.0,53.0,184,7.0,0.559322033898305,0.8048780487804879,1.0,0.3,,0.25,0.3,0.6555555555555556,0.7941176470588235,0.6129032258064516,0.635,0.7941176470588235,0.5857142857142857,0.6483050847457628,0.7558139534883721,0.6022727272727273,0.1,0.07777777777777778,0.09230769230769231,0.041666666666666664,21.699544764795146,0.32,0.5,0.25,0.2033898305084746,0.1794871794871795,0.15441176470588236,0.2157676348547718,0.17716535433070865,0.24489795918367346,0.1650485436893204,0.12121212121212122,0.2222222222222222,0.24242424242424243,0.38461538461538464,0.20238095238095238,0.12121212121212122,0.21428571428571427,0.65,0.7230769230769231,0.7966101694915254,0.46808510638297873,0.24,0.5,0.5217391304347826,0.9166666666666666,0.01,,,,0.04,0.5,0.5,1.0,0.06,0.16666666666666666,0.16666666666666666,1.0,0.9411764705882353,0.8125,0.15384615384615385,,,0.6,0.6666666666666666,0.11428571428571428,0.25,0.75,0.16666666666666666,0.5746095,0.6148521739130434,0.5821128571428572,0.1504424778761062,0.1650485436893204,0.42483660130718953,0.3464052287581699,2.8466666666666667,24.450000000000003,0.32798573975044565,,,11.0,1.0,2.0,5.0,1.0,,0.19672131147540983,,,,,9.0,,,6.0,1.0,5.0,,0.8571428571428571,12.0,1.0,,,,,1.0,,3.0,,,,,,,,2.0,,,,,,True,
1642962,1610612751,Drake Powell,Drake Powell,1642962,BKN,20743.699999999997,346,-106,703,710,203,229,75.0,1413,19,25,2.0,2.0,5.0,5.0,3.0,14.0,1.0,3.0,5.0,18.0,6.0,41.0,2.0,6.0,,13.0,23,42,11.0,59.0,16.0,95,787,2.0,3.0,2.0,6.0,10.0,6.0,11.0,1.0,18.0,20.0,28.0,18.0,33.0,,2.0,41.0,6.0,4.0,15.0,13.0,28.0,9.0,4.0,11.0,4.0,,69.0,5.0,2.0,16.0,6,1.0,23,8.0,31,1.0,8.0,5.0,3.0,11.0,,8.0,4.0,3.0,1.0,15.0,6.0,10.0,19,,11.0,18.0,,7.0,1.0,3.0,2.0,3.0,20.0,202,2.0,0.6086956521739131,0.6363636363636364,1.0,0.1864406779661017,0.3333333333333333,0.05555555555555555,0.1864406779661017,0.5476190476190477,0.6666666666666666,0.5454545454545454,0.3910891089108911,0.5555555555555556,0.25862068965517243,0.43119266055045874,0.5555555555555556,0.3064516129032258,0.5841584158415841,0.09523809523809523,0.16,,15.776081424936386,0.7333333333333333,0.038461538461538464,0.04195804195804196,0.013157894736842105,0.09248554913294797,0.02857142857142857,0.06962025316455696,0.021406727828746176,,0.02962962962962963,0.025,0.03636363636363636,0.04285714285714286,0.05555555555555555,0.08461538461538462,0.11627906976744186,0.01639344262295082,0.24752475247524752,0.76,0.9047619047619048,0.631578947368421,0.13861386138613863,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.0297029702970297,0.3333333333333333,0.3333333333333333,,0.1782178217821782,0.2777777777777778,0.2777777777777778,1.0,0.40594059405940597,0.14634146341463414,0.15384615384615385,1.0,0.2222222222222222,1.0,0.5,0.6666666666666666,0.3333333333333333,0.1724137931034483,1.0,0.4482758620689655,,0.8316831683168316,0.14634146341463414,0.5545920792079209,0.5375857142857142,0.534351724137931,0.06481481481481481,0.14285714285714285,0.10526315789473684,0.21052631578947367,5.716666666666666,24.964406779661015,0.2887624466571835,,,,1.0,2.0,,1.0,,0.02666666666666667,,,,1.0,,,,2.0,,1.0,,0.6666666666666666,5.0,1.0,,,5.0,2.0,1.0,,1.0,,0.03389830508474576,,0.04878048780487805,0.1724137931034483,1.0,0.2,,1.0,2.0,0.09090909090909091,,,True,
1641761,1610612751,Grant Nelson,Grant Nelson,1641761,BKN,1856.3000000000002,31,-4,60,61,10,28,9.0,121,3,5,2.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,4,7,,,7.0,15,75,2.0,3.0,,,7.0,,1.0,,,3.0,8.0,,,,,,,2.0,3.0,2.0,5.0,1.0,1.0,,2.0,1.0,12.0,1.0,,2.0,1,1.0,4,1.0,5,,1.0,1.0,,3.0,,3.0,1.0,,,4.0,,4.0,5,,8.0,10.0,,4.0,1.0,5.0,2.0,5.0,3.0,10,,1.0,1.0,,,,,,0.5714285714285714,0.6666666666666666,,0.5714285714285714,0.6666666666666666,,0.625,0.7,0.5,,0.2857142857142857,0.4,,22.857142857142858,0.75,0.5,0.0625,,0.18181818181818182,0.058823529411764705,0.1111111111111111,0.037037037037037035,,,0.16666666666666666,,0.1,,0.14285714285714285,0.25,,0.7142857142857143,0.6,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,,,,,1.0,0.6666666666666666,1.0,,,1.0,,,,0.7142857142857143,,0.5985714285714285,0.776,0.4247,0.36363636363636365,0.36363636363636365,0.4666666666666667,0.2,4.242857142857143,,0.16666666666666666,,,3.0,,,1.0,,,,,,,,,,,2.0,1.0,1.0,,0.4,3.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,True,
