EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,AtRimAssists,LongMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffFTReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,Travels,Blocked3s,BlockedArc3,DefensiveGoaltends,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3FGM,PenaltyArc3FGM,Fg3aBlocked,Charge Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,on,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,BlockedCorner3,Corner3PctBlocked
1628467,1610612747,Maxi Kleber,Maxi Kleber,1628467,LAL,4857.2,81,-1,162,169,51,36.0,24.0,331,3.0,3.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,8.0,1.0,5.0,4.0,11.0,181,4.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,3.0,2.0,2.0,7.0,1.0,10.0,5.0,15.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,6.0,10.0,2.0,6.0,1.0,6.0,3.0,4.0,4.0,4.0,3.0,51,3.0,1.0,1.0,1.0,0.2,0.2,0.25,0.2692307692307692,0.34375,0.38461538461538464,0.25,0.3333333333333333,0.2,10.0,1.0,0.2,0.21875,0.05405405405405406,0.047619047619047616,0.06976744186046512,0.12162162162162163,0.0625,0.09090909090909091,0.058823529411764705,0.058823529411764705,0.1111111111111111,0.2727272727272727,0.21052631578947367,0.15384615384615385,0.125,0.75,0.23076923076923078,0.38461538461538464,0.4,0.5,1.0,0.07692307692307693,0.3076923076923077,0.25,0.25,1.0,0.6,0.2,1.0,0.6153846153846154,0.25,0.5136923076923077,0.59895,0.4746,0.1875,0.2727272727272727,3.55,25.360000000000003,0.3148148148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1629020,1610612747,Jarred Vanderbilt,Jarred Vanderbilt,1629020,LAL,46493.09999999999,775,-3,1584,1591,494,411.0,207.0,3175,79.0,25.0,6.0,13.0,65.0,,2.0,,1.0,55.0,93.0,20.0,67.0,26.0,196.0,1839,28.0,5.0,18.0,68.0,57.0,2.0,,15.0,37.0,18.0,55.0,15.0,3.0,12.0,128.0,33.0,26.0,71.0,56.0,9.0,136.0,63.0,199.0,2.0,37.0,28.0,9.0,21.0,9.0,39.0,14.0,35.0,73.0,6.0,41.0,10.0,41.0,10.0,13.0,9.0,13.0,8.0,493,6.0,0.6181818181818182,0.723404255319149,0.95,0.29850746268656714,0.29850746268656714,0.5913978494623656,0.53125,0.5444444444444444,0.41875,0.16129032258064516,0.13924050632911392,0.3076923076923077,11.899563318777293,0.5384615384615384,0.2571428571428571,0.16519174041297935,0.08024691358024691,0.18983957219251338,0.0859375,0.17812061711079943,0.08333333333333333,0.11650485436893204,0.05732484076433121,0.08270676691729323,0.09322033898305085,0.14035087719298245,0.18857142857142858,0.20192307692307693,0.02857142857142857,0.6153846153846154,0.49375,0.08125,0.46153846153846156,0.6666666666666666,0.8333333333333334,0.40625,0.0125,,,,0.7575757575757576,,0.023255813953488372,0.9125,,0.6137365624999999,0.6016222222222223,0.6211872093023257,0.05917159763313609,0.09803921568627451,2.3602150537634405,23.568656716417905,0.31186868686868685,49.0,14.0,14.0,23.0,1.0,20.0,2.0,5.0,4.0,17.0,15.0,2.0,8.0,44.0,16.0,25.0,4.0,17.0,61.0,42.0,3.0,16.0,21.0,4.0,4.0,6.0,18.0,3.0,12.0,2.0,4.0,1.0,4.0,9.0,1.0,11.0,4.0,1.0,61.0,10.0,0.4,0.2222222222222222,0.5357142857142857,0.64,0.5454545454545454,0.5116279069767442,0.5641025641025641,0.5350877192982456,0.07272727272727272,0.078125,0.14,0.18518518518518517,0.620253164556962,0.7205882352941176,0.5918367346938775,0.00625,0.3076923076923077,0.3076923076923077,0.95,0.56,0.35714285714285715,0.15151515151515152,0.4,1.0,0.5348837209302325,0.6086956521739131,0.3953488372093023,0.23529411764705882,0.22448979591836735,0.3112244897959184,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1629028,1610612747,Deandre Ayton,Deandre Ayton,1629028,LAL,17211.8,287,18,586,578,130,112.0,78.0,1164,42.0,17.0,24.0,43.0,,,,,,56.0,93.0,,,11.0,123.0,671,21.0,,,80.0,,,,3.0,7.0,3.0,10.0,2.0,1.0,2.0,23.0,10.0,18.0,21.0,22.0,10.0,53.0,28.0,81.0,8.0,7.0,6.0,1.0,4.0,2.0,11.0,3.0,23.0,28.0,2.0,13.0,,18.0,9.0,7.0,4.0,8.0,4.0,130,1.0,0.7142857142857143,0.9090909090909091,,,,0.6021505376344086,0.6021505376344086,0.6089108910891089,,0.03225806451612903,0.047619047619047616,0.023255813953488372,16.49484536082474,0.36363636363636365,0.5882352941176471,0.16923076923076924,0.14516129032258066,0.16666666666666666,0.07407407407407407,0.16796875,0.10810810810810811,0.32432432432432434,0.09375,0.07142857142857142,0.0784313725490196,0.12962962962962962,0.21428571428571427,0.16666666666666666,0.23529411764705882,0.5,0.45161290322580644,0.46236559139784944,0.5581395348837209,0.5714285714285714,0.875,,,,,,0.8095238095238095,,,0.45161290322580644,,0.5224301075268818,0.5871142857142857,0.5643421052631579,0.09,0.09,5.926881720430108,,0.22184300341296928,29.0,11.0,9.0,12.0,8.0,,,,,,13.0,,1.0,27.0,13.0,19.0,,1.0,27.0,32.0,,24.0,3.0,2.0,,,7.0,,2.0,,,,3.0,1.0,2.0,1.0,3.0,,27.0,1.0,,,0.6190476190476191,0.6842105263157895,0.6190476190476191,0.6842105263157895,0.6136363636363636,0.675,,,0.15,0.16666666666666666,0.6904761904761905,0.725,0.5517241379310345,0.08602150537634409,,,,0.6470588235294118,0.09090909090909091,,,,0.631578947368421,0.75,,,0.21951219512195122,0.21951219512195122,3.0,1.0,1.0,1.0,1.0,0.375,0.375,1.0,,,,,,,,,,,,,,,True,,,,
1630559,1610612747,Austin Reaves,Austin Reaves,1630559,LAL,9744.099999999999,162,-11,337,342,99,83.0,44.0,679,15.0,1.0,16.0,24.0,3.0,11.0,39.0,3.0,6.0,30.0,48.0,12.0,42.0,51.0,147.0,398,2.0,4.0,7.0,16.0,24.0,39.0,11.0,1.0,28.0,7.0,35.0,5.0,2.0,12.0,77.0,3.0,,10.0,7.0,,17.0,3.0,20.0,,8.0,2.0,6.0,11.0,7.0,20.0,4.0,5.0,11.0,,35.0,3.0,60.0,14.0,,,,,99,1.0,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.625,0.5333333333333333,0.6293103448275862,0.4666666666666667,0.020833333333333332,0.06666666666666667,,34.871794871794876,0.55,,0.0875,,0.14285714285714285,0.038461538461538464,0.11333333333333333,0.02112676056338028,,,0.03571428571428571,0.045454545454545456,0.03571428571428571,0.08108108108108109,0.125,,,0.16666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.375,0.03333333333333333,0.43333333333333335,0.28205128205128205,0.2894736842105263,0.6363636363636364,0.16666666666666666,0.5,0.2608695652173913,0.6333333333333333,0.28205128205128205,0.5184605555555556,0.4333,0.5395065217391304,0.16346153846153846,0.23728813559322035,7.8062499999999995,26.304761904761904,0.29376854599406527,10.0,1.0,6.0,8.0,9.0,1.0,,1.0,,1.0,2.0,1.0,5.0,12.0,12.0,16.0,3.0,29.0,62.0,44.0,12.0,,14.0,2.0,,4.0,9.0,2.0,4.0,,,,2.0,1.0,3.0,12.0,,,62.0,12.0,0.25,0.42857142857142855,1.0,0.75,0.5833333333333334,0.717391304347826,0.75,0.7948717948717948,,,0.2,0.14814814814814814,0.6666666666666666,0.7142857142857143,0.2,0.1,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.16666666666666666,,,0.34782608695652173,0.75,0.043478260869565216,,0.08163265306122448,0.4217687074829932,4.0,,,,,0.4444444444444444,0.4444444444444444,,1.0,3.0,1.0,2.0,1.0,3.0,0.023809523809523808,0.02564102564102564,0.3333333333333333,0.5,0.06666666666666667,,,,True,,,,
1642261,1610612747,Dalton Knecht,Dalton Knecht,1642261,LAL,11900.999999999998,198,-8,400,404,154,113.0,54.0,804,10.0,2.0,9.0,13.0,10.0,10.0,36.0,1.0,13.0,19.0,29.0,14.0,46.0,4.0,84.0,456,3.0,3.0,17.0,28.0,39.0,36.0,10.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,15.0,2.0,2.0,9.0,4.0,2.0,15.0,4.0,19.0,,2.0,1.0,1.0,3.0,1.0,7.0,,12.0,18.0,,7.0,,7.0,4.0,4.0,3.0,4.0,1.0,154,1.0,0.7368421052631579,0.7777777777777778,0.9285714285714286,0.30434782608695654,0.30434782608695654,0.6551724137931034,0.5333333333333333,0.5384615384615384,0.6133333333333333,0.06896551724137931,0.1,0.07692307692307693,18.358531317494602,0.42857142857142855,0.25,0.046511627906976744,0.02531645569620253,0.09574468085106383,0.020202020202020204,0.07222222222222222,0.02247191011235955,,0.05555555555555555,0.025974025974025976,,,0.0784313725490196,0.12903225806451613,,0.25,0.13333333333333333,0.17333333333333334,0.6923076923076923,0.75,0.6666666666666666,0.13333333333333333,0.48,0.2777777777777778,0.29411764705882354,0.9,0.3333333333333333,0.16666666666666666,0.48148148148148145,0.7466666666666667,0.2777777777777778,0.5236593333333334,0.62199,0.5324148148148148,0.05128205128205128,0.125,7.768965517241377,26.110869565217385,0.385,8.0,1.0,5.0,5.0,6.0,4.0,,2.0,1.0,4.0,1.0,,2.0,4.0,7.0,10.0,5.0,,29.0,10.0,3.0,2.0,2.0,,,1.0,4.0,,2.0,1.0,,,2.0,,1.0,,,,29.0,,,0.29411764705882354,0.3333333333333333,0.7,0.16666666666666666,0.5370370370370371,0.2857142857142857,0.5370370370370371,,,,0.07936507936507936,0.8,0.8888888888888888,0.75,0.08,0.4,0.4,1.0,0.5,,0.3333333333333333,,,0.18518518518518517,1.0,0.14814814814814814,0.25,0.047619047619047616,0.34523809523809523,2.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,4.0,2.0,1.0,,,0.043478260869565216,0.05555555555555555,,0.3076923076923077,,1.0,,,True,,,,
1641733,1610612747,Nick Smith Jr.,Nick Smith Jr.,1641733,LAL,8950.8,149,-29,310,313,133,113.0,30.0,623,4.0,,9.0,18.0,5.0,13.0,27.0,1.0,14.0,14.0,29.0,13.0,32.0,3.0,70.0,387,3.0,2.0,17.0,6.0,18.0,27.0,13.0,3.0,6.0,5.0,11.0,3.0,2.0,1.0,27.0,1.0,,6.0,1.0,,7.0,1.0,8.0,,2.0,,2.0,8.0,6.0,12.0,4.0,7.0,12.0,,5.0,,6.0,2.0,,,,,133,2.0,0.21428571428571427,0.21428571428571427,0.46153846153846156,0.40625,0.40625,0.4827586206896552,0.5491803278688525,0.546875,0.5245901639344263,0.10344827586206896,0.25,0.1111111111111111,21.902017291066283,0.6666666666666666,,0.02,,0.07894736842105263,0.01818181818181818,0.05555555555555555,0.00847457627118644,,,0.023255813953488372,,,,0.125,,,0.06557377049180328,0.29508196721311475,0.5,0.5625,0.3333333333333333,0.08196721311475409,0.4426229508196721,0.48148148148148145,0.48148148148148145,0.46153846153846156,,0.2,0.5384615384615384,0.5901639344262295,0.48148148148148145,0.4916909836065574,0.4610833333333333,0.5079134615384615,0.031746031746031744,0.06451612903225806,10.406896551724138,26.200000000000003,0.4290322580645161,2.0,,1.0,1.0,7.0,,,1.0,,3.0,2.0,,,4.0,4.0,9.0,8.0,2.0,34.0,22.0,21.0,,4.0,1.0,,,4.0,2.0,2.0,1.0,,,1.0,,,1.0,,,34.0,1.0,,0.47058823529411764,0.6666666666666666,0.4444444444444444,0.4,0.6153846153846154,0.4,0.6071428571428571,,,0.3333333333333333,0.057692307692307696,0.5,0.6666666666666666,,0.11475409836065574,,,,,,0.2,,,0.038461538461538464,1.0,0.11538461538461539,,0.05714285714285714,0.4857142857142857,3.0,,,,,0.42857142857142855,0.42857142857142855,,,8.0,,,,,,,,0.5714285714285714,,,,,True,,,,
203935,1610612747,Marcus Smart,Marcus Smart,203935,LAL,18470.200000000004,308,25,620,617,119,105.0,80.0,1237,12.0,1.0,9.0,25.0,19.0,7.0,38.0,3.0,3.0,15.0,37.0,13.0,57.0,18.0,87.0,700,4.0,5.0,4.0,16.0,33.0,38.0,7.0,2.0,23.0,9.0,32.0,6.0,3.0,8.0,73.0,3.0,2.0,19.0,8.0,,27.0,6.0,33.0,3.0,9.0,6.0,3.0,13.0,11.0,22.0,5.0,17.0,32.0,2.0,23.0,5.0,21.0,9.0,1.0,1.0,2.0,1.0,118,,0.5333333333333333,0.5333333333333333,0.8461538461538461,0.22807017543859648,0.22807017543859648,0.40540540540540543,0.3670212765957447,0.4223300970873786,0.6063829787234043,0.05405405405405406,,0.08,17.53155680224404,0.5909090909090909,,0.058823529411764705,0.015748031496062992,0.1310344827586207,0.019867549668874173,0.09608540925266904,0.017985611510791366,,0.014492753623188406,0.009708737864077669,0.041666666666666664,0.13636363636363635,,0.16216216216216217,0.047619047619047616,0.5,0.1276595744680851,0.26595744680851063,0.36,0.391304347826087,0.5555555555555556,0.20212765957446807,0.40425531914893614,0.18421052631578946,0.18421052631578946,0.8571428571428571,0.1111111111111111,0.3333333333333333,0.375,0.7340425531914894,0.18421052631578946,0.5326787234042554,0.49318999999999996,0.51591875,0.09,0.20930232558139536,6.616216216216216,25.180701754385957,0.19193548387096773,6.0,1.0,1.0,1.0,,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,1.0,4.0,11.0,14.0,6.0,,12.0,3.0,1.0,5.0,9.0,,2.0,,,,2.0,2.0,3.0,3.0,,,11.0,2.0,0.2,0.25,0.25,0.5,0.2777777777777778,0.4375,0.3,0.5,0.058823529411764705,0.047619047619047616,0.09090909090909091,0.12037037037037036,0.5,0.5,0.5,,0.3157894736842105,0.3157894736842105,0.8333333333333334,1.0,1.0,0.2222222222222222,0.5,,0.125,1.0,0.125,1.0,0.06896551724137931,0.12643678160919541,,2.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,True,,,,
1629029,1610612747,Luka Dončić,Luka Dončić,1629029,LAL,21236.2,354,-29,733,736,273,234.0,95.0,1469,28.0,5.0,38.0,65.0,8.0,38.0,106.0,5.0,41.0,77.0,125.0,40.0,114.0,97.0,371.0,888,15.0,9.0,41.0,32.0,27.0,106.0,38.0,3.0,50.0,30.0,80.0,15.0,15.0,14.0,190.0,6.0,5.0,32.0,35.0,4.0,71.0,12.0,83.0,7.0,17.0,14.0,3.0,44.0,35.0,55.0,25.0,8.0,19.0,,98.0,3.0,128.0,47.0,4.0,1.0,4.0,3.0,273,3.0,0.2077922077922078,0.2191780821917808,0.225,0.3508771929824561,0.3508771929824561,0.616,0.5732217573221757,0.6296928327645052,0.4769874476987448,0.024,0.03571428571428571,0.015384615384615385,41.23222748815166,0.8,0.21052631578947367,0.25,0.04,0.18497109826589594,0.028169014084507043,0.21405750798722045,0.03254437869822485,0.029411764705882353,0.045454545454545456,0.02877697841726619,0.02702702702702703,0.20833333333333334,0.25333333333333335,0.125,0.0603448275862069,0.75,0.11715481171548117,0.2719665271966527,0.5846153846153846,0.59375,0.18421052631578946,0.03347280334728033,0.4435146443514644,0.3584905660377358,0.36538461538461536,0.21052631578947367,0.20833333333333334,0.20833333333333334,0.5061728395061729,0.5941422594142259,0.3584905660377358,0.5000329113924049,0.49158333333333326,0.49038375,0.1879432624113475,0.29012345679012347,9.866400000000004,27.249122807017546,0.37244201909959074,22.0,2.0,9.0,11.0,32.0,2.0,2.0,4.0,,,8.0,4.0,6.0,34.0,27.0,40.0,13.0,50.0,143.0,122.0,93.0,8.0,32.0,4.0,1.0,5.0,11.0,3.0,9.0,,4.0,,2.0,2.0,10.0,11.0,3.0,,143.0,11.0,0.4444444444444444,0.3170731707317073,0.5333333333333333,0.675,0.5833333333333334,0.5740740740740741,0.6071428571428571,0.6698113207547169,0.045454545454545456,0.04,0.35294117647058826,0.208,0.7857142857142857,0.8148148148148148,0.22727272727272727,0.13389121338912133,0.25,0.25,0.5,0.4,0.5,0.16666666666666666,0.5,0.5,0.13580246913580246,0.8181818181818182,,,0.09164420485175202,0.38544474393531,17.0,1.0,,,,0.53125,0.5483870967741935,0.23529411764705882,2.0,13.0,2.0,4.0,3.0,6.0,0.017543859649122806,0.018867924528301886,0.4,0.3170731707317073,0.05,,0.03125,0.5,True,,,,
1629060,1610612747,Rui Hachimura,Rui Hachimura,1629060,LAL,17007.700000000004,283,65,585,592,180,143.0,70.0,1177,17.0,3.0,9.0,16.0,20.0,12.0,26.0,3.0,9.0,40.0,58.0,18.0,46.0,9.0,143.0,651,6.0,4.0,16.0,64.0,51.0,26.0,12.0,2.0,4.0,8.0,12.0,4.0,4.0,1.0,32.0,,3.0,14.0,13.0,,27.0,3.0,30.0,,7.0,3.0,4.0,5.0,2.0,13.0,1.0,7.0,18.0,2.0,10.0,,15.0,8.0,6.0,4.0,6.0,3.0,179,2.0,0.8,0.8205128205128205,0.9444444444444444,0.391304347826087,0.391304347826087,0.6896551724137931,0.6442307692307693,0.6441441441441441,0.4423076923076923,0.034482758620689655,0.058823529411764705,0.0625,18.424962852897472,0.38461538461538464,,0.09285714285714286,0.02702702702702703,0.10144927536231885,,0.09712230215827339,0.012448132780082987,0.044444444444444446,0.022222222222222223,,,0.10204081632653061,0.07042253521126761,0.08571428571428572,,0.5,0.16346153846153846,0.15384615384615385,0.5625,0.6,0.5555555555555556,0.19230769230769232,0.25,0.46153846153846156,0.46153846153846156,0.9166666666666666,0.3,0.3,0.2903225806451613,0.6057692307692307,0.46153846153846156,0.5166778846153847,0.5724916666666667,0.5206725806451612,0.07207207207207207,0.12307692307692308,10.632758620689655,24.93260869565217,0.3076923076923077,14.0,3.0,3.0,3.0,25.0,6.0,,1.0,2.0,7.0,4.0,2.0,2.0,16.0,13.0,15.0,6.0,1.0,45.0,16.0,3.0,2.0,3.0,,,2.0,8.0,1.0,3.0,,1.0,1.0,3.0,,1.0,,2.0,,45.0,,0.5,0.375,0.6666666666666666,0.8666666666666667,0.7,0.7096774193548387,0.7272727272727273,0.703125,,,0.15,0.10679611650485436,0.8235294117647058,0.875,0.8571428571428571,0.2403846153846154,0.3,0.3,1.0,1.0,0.6666666666666666,0.1,,,0.0967741935483871,1.0,0.22580645161290322,0.2857142857142857,0.11188811188811189,0.3146853146853147,17.0,,,,1.0,0.68,0.68,0.8823529411764706,2.0,4.0,,,,,,,0.6666666666666666,0.4444444444444444,,,,1.0,True,,,,
1631222,1610612747,Jake LaRavia,Jake LaRavia,1631222,LAL,23936.300000000003,399,-72,817,824,260,239.0,111.0,1641,30.0,12.0,11.0,28.0,23.0,9.0,31.0,8.0,7.0,34.0,61.0,19.0,54.0,27.0,152.0,996,15.0,11.0,14.0,38.0,57.0,31.0,9.0,7.0,20.0,11.0,31.0,8.0,3.0,10.0,73.0,23.0,7.0,15.0,20.0,,35.0,30.0,65.0,1.0,17.0,9.0,8.0,11.0,8.0,16.0,5.0,17.0,33.0,2.0,31.0,1.0,37.0,20.0,,,1.0,1.0,259,4.0,0.5588235294117647,0.7307692307692307,1.0,0.35185185185185186,0.35185185185185186,0.5573770491803278,0.5434782608695652,0.5846153846153846,0.46956521739130436,0.11475409836065574,0.1,0.14285714285714285,15.287958115183246,0.6875,,0.12578616352201258,0.040229885057471264,0.08108108108108109,0.11004784688995216,0.10174418604651163,0.0783289817232376,0.07017543859649122,0.024691358024691357,0.12751677852348994,0.06666666666666667,0.14814814814814814,0.10126582278481013,0.1346153846153846,0.01818181818181818,1.0,0.2608695652173913,0.24347826086956523,0.39285714285714285,0.4583333333333333,0.5454545454545454,0.2,0.26956521739130435,0.2903225806451613,0.2903225806451613,1.0,0.46153846153846156,0.3076923076923077,0.21212121212121213,0.7304347826086957,0.2903225806451613,0.5515591304347826,0.545605,0.5438666666666667,0.15625,0.2702702702702703,5.0688524590163935,24.811111111111114,0.3182374541003672,22.0,7.0,4.0,8.0,3.0,10.0,2.0,3.0,3.0,7.0,9.0,4.0,7.0,37.0,7.0,19.0,7.0,8.0,43.0,30.0,,16.0,8.0,2.0,,1.0,5.0,1.0,3.0,,2.0,,2.0,2.0,7.0,2.0,,,43.0,1.0,0.36363636363636365,0.5,0.6,0.3684210526315789,0.5769230769230769,0.5303030303030303,0.6166666666666667,0.5512820512820513,,0.027777777777777776,0.15384615384615385,0.06015037593984962,0.7333333333333333,0.8148148148148148,0.5909090909090909,0.02608695652173913,0.43478260869565216,0.43478260869565216,1.0,0.5833333333333334,,0.11538461538461539,0.6666666666666666,1.0,0.24242424242424243,0.5,0.21212121212121213,0.42857142857142855,0.24342105263157895,0.28289473684210525,1.0,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,,2.0,4.0,,,,,,,0.25,0.5714285714285714,,,,1.0,True,,,,
2544,1610612747,LeBron James,LeBron James,2544,LAL,17160.300000000003,286,54,572,569,179,156.0,87.0,1141,50.0,4.0,19.0,43.0,7.0,19.0,43.0,4.0,12.0,68.0,119.0,20.0,50.0,55.0,251.0,617,14.0,4.0,15.0,42.0,36.0,43.0,19.0,9.0,33.0,19.0,52.0,11.0,8.0,9.0,123.0,3.0,4.0,21.0,17.0,1.0,39.0,8.0,47.0,1.0,15.0,9.0,6.0,16.0,6.0,25.0,7.0,6.0,10.0,,45.0,,72.0,30.0,5.0,1.0,5.0,4.0,179,1.0,0.3088235294117647,0.31343283582089554,0.6,0.4,0.4,0.5714285714285714,0.5798816568047337,0.6287878787878788,0.2958579881656805,0.07563025210084033,0.06,0.13953488372093023,33.13521545319465,0.64,0.09090909090909091,0.12781954887218044,0.03007518796992481,0.14685314685314685,0.0234375,0.13768115942028986,0.02681992337164751,0.024390243902439025,0.028985507246376812,,0.06976744186046512,0.1,0.1095890410958904,0.1111111111111111,0.014492753623188406,0.8,0.2958579881656805,0.25443786982248523,0.4418604651162791,0.5135135135135135,0.2631578947368421,0.04142011834319527,0.25443786982248523,0.4418604651162791,0.4418604651162791,0.5789473684210527,0.2222222222222222,0.2222222222222222,0.26666666666666666,0.591715976331361,0.4418604651162791,0.5171505917159763,0.48026818181818187,0.5165544444444444,0.17346938775510204,0.2112676056338028,7.775630252100843,26.17,0.3129370629370629,39.0,3.0,9.0,12.0,26.0,1.0,,,,3.0,10.0,3.0,7.0,36.0,17.0,30.0,5.0,17.0,66.0,94.0,24.0,2.0,22.0,2.0,1.0,7.0,9.0,2.0,10.0,,2.0,,,,7.0,2.0,4.0,,66.0,2.0,0.75,0.3333333333333333,0.7142857142857143,0.5666666666666667,0.8055555555555556,0.5444444444444444,0.8181818181818182,0.5909090909090909,0.038461538461538464,0.043478260869565216,0.25,0.16326530612244897,0.78,0.8297872340425532,0.38461538461538464,0.15384615384615385,0.14285714285714285,0.14285714285714285,1.0,0.75,,,,,0.26666666666666666,0.75,0.06666666666666667,,0.14342629482071714,0.26294820717131473,10.0,,,,1.0,0.38461538461538464,0.38461538461538464,0.1,3.0,5.0,,,3.0,4.0,,,0.75,0.4166666666666667,0.07407407407407407,,,1.0,True,,,,
