EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,FtPoints,PenaltyFtPoints,LiveBallTurnovers,LostBallTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,LongMidRangeFrequency,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsAssisted2s,PtsUnassisted3s,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,TwoPtAssists,AtRimAssists,DefTwoPtRebounds,DefRebounds,BadPassTurnovers,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGA,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Loose Ball Fouls Drawn,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,Corner3Assists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,AtRimPctBlocked,OffCorner3ReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,on,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,2pt And 1 Free Throw Trips,BlockedShortMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FTOffRebounds,Charge Fouls,OffFTReboundPct,DefensiveGoaltends,OffensiveGoaltends
1628379,1610612737,Luke Kennard,Luke Kennard,1628379,ATL,456.0,8,2,15,15,9.0,9,3.0,30,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,15,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.625,0.8333333333333334,0.5,0.625,0.8333333333333334,0.5,0.5,0.5,0.5,23.80952380952381,0.14285714285714285,0.1,0.25,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,0.4927875,0.44355,0.44355,1.0,0.4,6.95,24.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629027,1610612737,Trae Young,Trae Young,1629027,ATL,456.0,8,2,15,15,9.0,9,3.0,30,,1.0,,,1.0,,1.0,,2.0,,1.0,4.0,15,,,,1.0,,,,4.0,,,1.0,,,,,,,,,,,,1.0,1.0,4.0,9.0,,,,,,,,,,,0.4,,1.0,0.3333333333333333,,,28.571428571428573,,,,0.3333333333333333,,,,0.3333333333333333,,,,1.0,,,0.3333333333333333,,0.49265000000000003,,,,1.0,13.25,26.8,0.6,1.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630249,1610612737,Vít Krejčí,Vít Krejčí,1630249,ATL,450.0,8,5,15,15,5.0,15,4.0,30,,1.0,,1.0,2.0,,,2.0,3.0,1.0,2.0,7.0,10,,,,,,1.0,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,2.0,5.0,,0.5,,0.5,0.6666666666666666,,1.0,0.7,,1.0,0.7,,1.0,0.4,,,23.80952380952381,,,,0.2,,,,0.4,0.5,0.5,,,,,0.8,0.5,0.49993,,0.5342,,0.2857142857142857,5.800000000000001,26.5,0.3333333333333333,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.4,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631243,1610612737,Mouhamed Gueye,Mouhamed Gueye,1631243,ATL,222.0,4,1,8,8,5.0,8,1.0,16,,,1.0,,1.0,,,,,1.0,2.0,3.0,8,,,,,,,,,,3.0,1.0,,,,1.0,,2.0,,,1.0,,,1.0,,,5.0,1.0,0.5,,0.5,,,,0.75,,,0.75,,,1.0,,,27.272727272727273,,,,,,,0.5,0.5,,,,,,,1.0,,0.537825,,,,,,23.6,0.625,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642368,1610612737,N'Faly Dante,N'Faly Dante,1642368,ATL,925.0,15,10,30,32,14.0,26,6.0,62,,2.0,,,,,,1.0,4.0,,,3.0,26,,2.0,,,,1.0,1.0,3.0,,,,,,,,,,2.0,3.0,7.0,,,1.0,1.0,3.0,14.0,,,,,0.25,,1.0,0.25,,1.0,0.3,,0.75,,,,12.82051282051282,0.18181818181818182,0.16666666666666666,,0.5,,,,,,,,,,,0.5,,0.53525,0.5039,0.7897,,1.0,4.25,,0.4666666666666667,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,,,,1.0,4.0,1.0,0.1111111111111111,0.21428571428571427,0.2,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4,0.14285714285714285,0.5,0.5,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630700,1610612737,Dyson Daniels,Dyson Daniels,1630700,ATL,270.0,4,4,8,8,4.0,2,2.0,16,,1.0,,,,,,,1.0,,,,7,,,,,,,1.0,,,,,,,1.0,1.0,,3.0,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,9.090909090909092,,,,1.0,,,,,,,,,,,,,0.3994,,0.3994,,,5.4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,0.5,0.4,,,,,,,1.0,,,,,0.3333333333333333,,,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642854,1610612737,Asa Newell,Asa Newell,1642854,ATL,703.0,12,9,22,24,9.0,18,5.0,46,,,1.0,1.0,2.0,,,,1.0,1.0,3.0,4.0,18,,,,,,,,4.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,,,,,4.0,9.0,1.0,0.3333333333333333,,0.3333333333333333,,,,0.375,,0.75,0.4,,0.6666666666666666,0.75,1.0,,17.857142857142854,0.1111111111111111,0.21428571428571427,0.2,,,,0.25,0.5,0.5,0.5,1.0,,,,1.0,0.5,0.548875,,0.5278499999999999,,1.0,2.8,25.46666666666667,0.4090909090909091,,1.0,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,0.25,,,,,,,,,2.0,2.0,,0.3333333333333333,0.18181818181818182,0.5,,,,,2.0,,,,,,,0.4,,,0.5,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.5,0.2,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630811,1610612737,Keaton Wallace,Keaton Wallace,1630811,ATL,367.0,6,6,12,13,5.0,13,2.0,25,1.0,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,2.0,6.0,9,,1.0,,,,1.0,1.0,5.0,2.0,,1.0,1.0,,,1.0,,2.0,,,1.0,,,,,5.0,5.0,,0.5,,0.5,0.3333333333333333,,1.0,0.5,,1.25,0.5,,1.25,0.4,,,42.857142857142854,,,,0.4,0.5,0.5,0.2,0.2,1.0,1.0,,,,,0.4,1.0,0.46213,0.4395,0.446125,,0.8333333333333334,13.4,27.5,0.4166666666666667,1.0,1.0,,,,1.0,2.0,,,,0.2,,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.5,1.0,0.16666666666666666,0.25,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631210,1610612737,Jacob Toppin,Jacob Toppin,1631210,ATL,469.0,8,8,15,17,5.0,17,3.0,32,1.0,2.0,,,,,,2.0,3.0,,,4.0,11,1.0,2.0,,,2.0,,,,4.0,,,,,,,,,1.0,1.0,2.0,,,,,,5.0,,,,,0.6666666666666666,0.5,,0.6666666666666666,0.5,,0.6666666666666666,0.5,,,,,16.666666666666668,0.25,0.125,0.3333333333333333,0.6666666666666666,0.5,0.5,,,,,,,,,0.3333333333333333,,0.4987333333333333,0.6463,,0.5,,7.333333333333333,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,0.3333333333333333,1.0,1.0,,,,,,,,1.0,,,0.16666666666666666,,,,,1.0,,1.0,,,,,0.5,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631216,1610612737,Caleb Houstan,Caleb Houstan,1631216,ATL,307.0,5,3,10,13,5.0,13,1.0,23,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628379,1610612737,Luke Kennard,Luke Kennard,1628379,ATL,19439.1,324,27,672,667,222.0,245,70.0,1339,4.0,9.0,16.0,12.0,34.0,,2.0,18.0,33.0,22.0,50.0,116.0,748,3.0,7.0,,2.0,6.0,8.0,10.0,42.0,12.0,66.0,34.0,12.0,3.0,18.0,31.0,11.0,80.0,5.0,8.0,30.0,3.0,5.0,15.0,5.0,42.0,220.0,1.0,0.44,,0.44,0.5454545454545454,0.42857142857142855,0.8,0.6144578313253012,0.3333333333333333,0.68,0.6404494382022472,0.3333333333333333,0.7068965517241379,0.6024096385542169,0.09090909090909091,0.1111111111111111,13.885180240320427,0.03759398496240601,0.027491408934707903,0.029411764705882353,0.10843373493975904,0.4444444444444444,0.5,0.1927710843373494,0.40963855421686746,0.35294117647058826,0.36363636363636365,1.0,0.2222222222222222,,,0.7831325301204819,0.35294117647058826,0.5580921686746988,0.59701,0.5440259999999999,0.05172413793103448,0.3620689655172414,7.5575757575757585,24.928,0.33035714285714285,9.0,14.0,8.0,10.0,3.0,11.0,15.0,3.0,3.0,0.6666666666666666,0.10843373493975904,8.0,15.0,4.0,4.0,24.0,,15.0,14.0,1.0,8.0,20.0,1.0,0.6666666666666666,0.75,0.18072289156626506,0.5333333333333333,0.6153846153846154,0.75,0.16,1.0,10.0,13.0,8.0,15.0,22.0,7.0,0.10204081632653061,0.06422018348623854,0.10294117647058823,0.625,0.625,1.0,5.0,3.0,6.0,1.0,4.0,1.0,0.045454545454545456,0.03333333333333333,0.0189873417721519,0.06,,0.02654867256637168,0.043795620437956206,,0.10256410256410256,0.5555555555555556,7.0,1.0,,1.0,1.0,0.05263157894736842,1.0,4.0,11.0,6.0,15.0,3.0,0.4,0.13333333333333333,,0.22727272727272727,0.44,0.36363636363636365,0.046511627906976744,0.08333333333333333,2.0,4.0,0.4,False,6.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.02,0.029411764705882353,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16,0.5,0.02,,,,,,,,,,,,,,,,,,,,,,
1629027,1610612737,Trae Young,Trae Young,1629027,ATL,7896.1,132,-26,292,291,84.0,82,27.0,583,11.0,21.0,5.0,3.0,20.0,,1.0,21.0,42.0,5.0,25.0,85.0,367,2.0,4.0,1.0,3.0,7.0,6.0,11.0,33.0,32.0,6.0,20.0,3.0,1.0,13.0,39.0,8.0,91.0,,,10.0,,,9.0,2.0,33.0,84.0,0.4,0.2,0.3333333333333333,0.2,0.5,0.5,0.5454545454545454,0.4253731343283582,0.5,0.4090909090909091,0.5121951219512195,0.5,0.55,0.373134328358209,0.023809523809523808,,28.173374613003094,,,,0.31343283582089554,0.5238095238095238,0.5238095238095238,0.07462686567164178,0.29850746268656714,0.15,0.15,,0.14285714285714285,,,0.5970149253731343,0.15,0.5205582089552239,0.54045,0.5101181818181818,0.08235294117647059,0.38823529411764707,7.392857142857143,26.272,0.2876712328767123,6.0,28.0,15.0,9.0,,33.0,35.0,5.0,5.0,1.0,0.08955223880597014,8.0,15.0,2.0,6.0,10.0,9.0,3.0,1.0,2.0,5.0,9.0,1.0,0.23809523809523808,0.23809523809523808,0.22388059701492538,0.5333333333333333,0.5714285714285714,0.25,0.2727272727272727,0.3333333333333333,2.0,26.0,21.0,5.0,10.0,9.0,0.09433962264150944,0.08547008547008547,0.08695652173913043,0.4,0.4,1.0,1.0,,5.0,,,,,0.078125,,,,,0.10416666666666667,,,0.14285714285714285,5.0,2.0,1.0,2.0,2.0,0.08,1.0,1.0,9.0,2.0,11.0,14.0,0.18181818181818182,0.06666666666666667,,0.2,0.4090909090909091,0.1111111111111111,0.18181818181818182,0.2692307692307692,,,,False,2.0,1.0,2.0,,4.0,1.0,,,5.0,,1.0,,,,,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.5,0.09090909090909091,0.5,,1.0,2.0,4.0,1.0,0.2857142857142857,0.5,1.0,,,,,,,,,,,,,,,
