EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Avg3ptShotDistance,ShortMidRangeFGA,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShortMidRangeFrequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsUnassisted2s,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,OffThreePtReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,DefThreePtRebounds,FoulsDrawn,DefThreePtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,on,PenaltyAtRimFGM,ShortMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGM,ShortMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,PtsUnassisted3s,Fg3aBlocked,Arc3Assists,SelfOReb,LostBallSteals,LostBallTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,BlockedAtRim,LongMidRangePctBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,OffFTReboundPct,Defensive 3 Seconds Violations
1628975,1610612741,Jevon Carter,Jevon Carter,1628975,CHI,333.0,6,-2,10,11,2.0,6.0,5,21,3.0,1.0,1.0,1.0,1.0,4.0,2.0,11,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,1.0,0.5,0.25,1.0,0.5,0.25,1.0,0.5,0.25,0.3333333333333333,26.666666666666668,0.5,0.3333333333333333,1.0,0.75,0.25,1.0,1.0,1.0,0.5,0.75,0.639825,0.4485,0.5393,1.0,1.0,5.225,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641763,1610612741,Julian Phillips,Julian Phillips,1641763,CHI,333.0,6,-2,10,11,2.0,6.0,5,21,,,,,,,3.0,11,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.5,1.5,,0.5,1.5,,,,20.0,,,,,,,,,,1.0,0.50305,,,1.0,,,0.2,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,24.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641801,1610612741,Emanuel Miller,Emanuel Miller,1641801,CHI,333.0,6,-2,10,11,2.0,6.0,5,21,1.0,1.0,,,,2.0,,11,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,20.0,,,,0.3333333333333333,,,,,1.0,0.6666666666666666,0.5527333333333333,0.4366,0.7089,,,4.75,0.2,,,,,1.0,,1.0,,,,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,24.9,1.0,1.0,1.0,0.2,0.1,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642280,1610612741,Trentyn Flowers,Trentyn Flowers,1642280,CHI,333.0,6,-2,10,11,2.0,6.0,5,21,2.0,,,,2.0,2.0,4.0,11,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,,,2.0,,,1.0,,,,2.0,0.5,1.0,1.0,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,,26.666666666666668,,,,0.6666666666666666,,,,,,1.0,0.7216833333333333,,,0.5,,0.9,0.2,,1.0,,,,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,22.9,,,1.0,,0.1,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,1.0,0.5,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642950,1610612741,Lachlan Olbrich,Lachlan Olbrich,1642950,CHI,333.0,6,-2,10,11,2.0,6.0,5,21,,,,,,,,11,,,,,,,,,,,,,,,1.0,2.0,4.0,,,,2.0,,,,,,,,,,,,,,6.666666666666667,0.5,0.6666666666666666,,,,,,,,1.0,0.3987,0.3987,,,,,0.2,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,26.3,,1.0,2.0,0.2,0.2,0.25,,,,,,,,1.0,,,,,,0.2,0.25,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628380,1610612741,Zach Collins,Zach Collins,1628380,CHI,4257.0,71,14,145,144,66.0,24.0,25,289,8.0,6.0,1.0,1.0,7.0,12.0,29.0,159,2.0,5.0,9.0,5.0,7.0,20.0,10.0,,4.0,,4.0,,2.0,8.0,9.0,13.0,20.0,,,20.0,66.0,0.7142857142857143,1.0,0.5833333333333334,0.4,0.7142857142857143,0.575,0.5833333333333334,0.8636363636363636,0.6304347826086957,0.6428571428571429,0.9090909090909091,,,14.367816091954023,0.23684210526315788,0.16176470588235295,0.5,0.4,0.05,1.0,1.0,1.0,0.5454545454545454,0.8,0.5865625000000001,0.6973666666666666,0.6324636363636363,0.3103448275862069,0.6896551724137931,4.133333333333333,0.45517241379310347,2.0,3.0,1.0,1.0,5.0,3.0,8.0,1.0,1.0,9.0,5.0,1.0,0.375,1.0,0.375,0.4,0.15,0.6666666666666666,0.6666666666666666,1.0,0.25,0.16666666666666666,1.0,1.0,24.937500000000004,3.0,6.0,7.0,0.15,0.0945945945945946,0.17391304347826086,0.15,5.0,2.0,5.0,4.0,4.0,,1.0,1.0,,2.0,5.0,7.0,0.029411764705882353,,0.625,0.625,0.6,0.8333333333333334,0.4,,2.0,8.0,0.06666666666666667,0.25,,,False,4.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,2.0,2.0,2.0,2.0,0.75,0.5,0.3333333333333333,0.15384615384615385,0.25,0.1875,0.08333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,1.0,0.6666666666666666,0.18181818181818182,1.0,0.18181818181818182,0.5,0.2,0.17391304347826086,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628975,1610612741,Jevon Carter,Jevon Carter,1628975,CHI,11644.099999999999,194,-51,410,409,133.0,107.0,50,819,8.0,5.0,1.0,4.0,6.0,15.0,94.0,503,1.0,1.0,19.0,2.0,7.0,33.0,6.0,1.0,6.0,9.0,15.0,3.0,5.0,39.0,6.0,14.0,19.0,10.0,7.0,33.0,133.0,0.5,0.5,0.4,1.0,0.2857142857142857,0.5833333333333334,0.85,0.5208333333333334,0.6103896103896104,0.8636363636363636,0.5892857142857143,0.06666666666666667,0.125,18.279569892473116,0.06741573033707865,0.07865168539325842,,0.1111111111111111,0.05555555555555555,0.25,0.25,1.0,0.20833333333333334,0.9027777777777778,0.5558784722222221,0.6020800000000001,0.5463270833333334,0.20212765957446807,0.35106382978723405,7.04,0.32439024390243903,11.0,22.0,3.0,3.0,35.0,24.0,57.0,5.0,9.0,57.0,35.0,0.7916666666666666,0.42105263157894735,0.5555555555555556,0.42105263157894735,0.7916666666666666,0.3055555555555556,0.5,0.5238095238095238,0.9090909090909091,0.4861111111111111,0.3,1.0,0.6666666666666666,24.945614035087722,3.0,2.0,5.0,0.020618556701030927,0.023923444976076555,0.018518518518518517,0.041666666666666664,4.0,1.0,1.0,6.0,,,3.0,5.0,1.0,8.0,9.0,15.0,0.026785714285714284,0.03488372093023256,0.5,0.5714285714285714,0.25,0.1,1.0,6.0,8.0,7.0,0.0898876404494382,0.10526315789473684,0.07692307692307693,0.6,False,1.0,1.0,2.0,6.0,13.0,5.0,11.0,10.0,2.0,7.0,17.0,8.0,13.0,1.0,,3.0,3.0,2.0,1.0,1.0,10.0,,3.0,,,,,0.4117647058823529,0.375,,,,0.047619047619047616,0.09523809523809523,,0.3333333333333333,0.3333333333333333,1.0,0.37142857142857144,0.38235294117647056,0.6923076923076923,0.2,0.25,0.3333333333333333,0.4583333333333333,0.45454545454545453,0.37142857142857144,0.04,0.16666666666666666,2.0,15.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.03508771929824561,0.045454545454545456,0.02857142857142857,0.125,0.02564102564102564,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,
1629632,1610612741,Coby White,Coby White,1629632,CHI,15759.0,263,-8,557,564,169.0,186.0,64,1121,49.0,16.0,4.0,10.0,43.0,75.0,195.0,687,2.0,5.0,14.0,13.0,23.0,67.0,24.0,9.0,19.0,26.0,45.0,10.0,11.0,116.0,11.0,27.0,29.0,6.0,3.0,67.0,169.0,0.27906976744186046,0.27906976744186046,0.5733333333333334,0.4,0.5652173913043478,0.49295774647887325,0.45454545454545453,0.4782608695652174,0.563953488372093,0.5384615384615384,0.5677966101694916,0.12,0.14285714285714285,31.07255520504732,0.08333333333333333,0.09454545454545454,0.07142857142857142,0.34507042253521125,0.07042253521126761,0.4,0.4,0.5,0.34782608695652173,0.8169014084507042,0.5591257042253522,0.5444857142857142,0.5427423913043478,0.07179487179487179,0.3435897435897436,5.237333333333332,0.30341113105924594,3.0,6.0,1.0,1.0,61.0,18.0,67.0,2.0,6.0,45.0,61.0,0.8333333333333334,0.26865671641791045,0.3333333333333333,0.26865671641791045,0.47183098591549294,0.04225352112676056,0.5,0.5,1.0,0.4295774647887324,0.09090909090909091,1.0,1.0,26.47014925373134,16.0,,2.0,,0.007874015748031496,,0.11267605633802817,32.0,2.0,4.0,62.0,,,2.0,7.0,,25.0,9.0,19.0,0.013986013986013986,0.009345794392523364,0.6530612244897959,0.7619047619047619,0.28125,0.36363636363636365,0.5,5.0,15.0,53.0,0.1048951048951049,0.09230769230769231,0.15384615384615385,0.45454545454545453,False,13.0,7.0,,1.0,15.0,6.0,22.0,55.0,4.0,6.0,23.0,23.0,15.0,8.0,1.0,18.0,3.0,9.0,7.0,3.0,68.0,4.0,26.0,,,,,0.2608695652173913,0.72,0.058823529411764705,,0.027777777777777776,0.07547169811320754,0.08653846153846154,,0.4375,0.5,0.14285714285714285,0.2459016393442623,0.25,0.8,0.8125,0.021739130434782608,,0.4782608695652174,0.2727272727272727,0.2459016393442623,0.1696969696969697,0.26804123711340205,1.0,9.0,1.0,16.0,1.0,3.0,9.0,1.0,2.0,7.0,7.0,0.014925373134328358,,0.01639344262295082,,0.014285714285714285,,0.2,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.125,0.029411764705882353,,,,,,,,,,,
1630172,1610612741,Patrick Williams,Patrick Williams,1630172,CHI,30605.300000000003,510,-94,1098,1101,413.0,385.0,121,2199,35.0,15.0,2.0,4.0,25.0,72.0,182.0,1309,4.0,9.0,17.0,13.0,29.0,59.0,18.0,13.0,18.0,13.0,31.0,4.0,15.0,75.0,32.0,61.0,81.0,22.0,12.0,59.0,413.0,0.36,0.391304347826087,0.3472222222222222,0.4444444444444444,0.4482758620689655,0.503125,0.3888888888888889,0.4732142857142857,0.52,0.40476190476190477,0.49166666666666664,0.18055555555555555,0.2571428571428571,16.03545527800161,0.12549019607843137,0.12108559498956159,0.08823529411764706,0.21875,0.025,0.5,0.5,0.5,0.26785714285714285,0.76875,0.5427778124999999,0.5634875,0.5473732142857143,0.09340659340659341,0.3241758241758242,5.645833333333335,0.3761384335154827,11.0,20.0,,,68.0,37.0,88.0,2.0,9.0,99.0,68.0,0.8918918918918919,0.42045454545454547,0.2222222222222222,0.42045454545454547,0.55,0.125,0.55,0.55,1.0,0.425,,,,25.793181818181832,33.0,5.0,20.0,0.020491803278688523,0.03875968992248062,0.03816793893129771,0.20625,14.0,4.0,9.0,32.0,4.0,,15.0,9.0,5.0,24.0,28.0,41.0,0.05514705882352941,0.05970149253731343,0.4,0.5384615384615384,0.35714285714285715,0.5,0.4444444444444444,9.0,26.0,26.0,0.11607142857142858,0.10714285714285714,0.08620689655172414,0.5,False,8.0,9.0,3.0,7.0,26.0,6.0,20.0,21.0,3.0,9.0,27.0,6.0,26.0,3.0,3.0,15.0,1.0,8.0,12.0,2.0,33.0,3.0,15.0,7.0,2.0,7.0,5.0,0.3333333333333333,0.625,0.10344827586206896,,0.04225352112676056,0.1559633027522936,0.12650602409638553,0.7142857142857143,0.2727272727272727,0.3103448275862069,0.3333333333333333,0.38235294117647056,0.38235294117647056,0.8461538461538461,0.5333333333333333,0.125,0.42857142857142855,0.35714285714285715,0.3,0.38235294117647056,0.0872093023255814,0.17857142857142858,2.0,12.0,,9.0,1.0,10.0,7.0,1.0,,3.0,2.0,,,,,0.011904761904761904,0.5,0.2222222222222222,1.0,1.0,3.0,1.0,,,,,2.0,2.0,0.12121212121212122,,1.0,5.0,,,,,,,,,
1631207,1610612741,Dalen Terry,Dalen Terry,1631207,CHI,10298.1,172,23,366,373,113.0,88.0,52,739,23.0,7.0,,1.0,18.0,28.0,51.0,388,2.0,4.0,11.0,6.0,7.0,13.0,20.0,2.0,8.0,12.0,20.0,5.0,3.0,52.0,7.0,18.0,28.0,11.0,8.0,13.0,113.0,0.5555555555555556,0.5882352941176471,0.6428571428571429,0.5,0.8571428571428571,0.5581395348837209,0.8333333333333334,0.5,0.5543478260869565,0.7857142857142857,0.5,0.07142857142857142,0.043478260869565216,13.380281690140846,0.07526881720430108,0.1016949152542373,0.16666666666666666,0.5348837209302325,0.023255813953488372,,,,0.5833333333333334,0.8837209302325582,0.6162744186046512,0.6025375,0.6841958333333333,0.21568627450980393,0.2549019607843137,3.160714285714286,0.3087431693989071,1.0,5.0,1.0,1.0,10.0,4.0,15.0,2.0,2.0,12.0,10.0,1.0,0.26666666666666666,1.0,0.26666666666666666,0.3488372093023256,0.11627906976744186,0.2,0.2,1.0,0.23255813953488372,0.16666666666666666,1.0,1.0,24.63333333333333,4.0,3.0,10.0,0.03488372093023256,0.05405405405405406,0.022222222222222223,0.09302325581395349,16.0,2.0,3.0,16.0,2.0,2.0,7.0,1.0,,11.0,11.0,18.0,0.0707070707070707,0.08333333333333333,0.6956521739130435,0.7272727272727273,0.5625,0.5,0.6666666666666666,1.0,11.0,8.0,0.13095238095238096,0.05128205128205128,0.125,0.16666666666666666,False,6.0,2.0,,1.0,3.0,,4.0,3.0,1.0,,5.0,1.0,3.0,3.0,,10.0,,6.0,6.0,3.0,7.0,1.0,3.0,4.0,2.0,4.0,3.0,,0.9090909090909091,,0.029411764705882353,0.037037037037037035,0.07142857142857142,0.13333333333333333,0.75,0.5,0.5,0.5,0.3,0.3,1.0,0.8571428571428571,0.08333333333333333,,0.3333333333333333,,0.3,0.06666666666666667,0.1,1.0,,,7.0,,3.0,4.0,1.0,1.0,1.0,1.0,,,,0.14285714285714285,,,1.0,1.0,,2.0,,,,,,,3.0,,,,2.0,1.0,,,,,,,,
1641824,1610612741,Matas Buzelis,Matas Buzelis,1641824,CHI,42246.799999999996,704,-71,1499,1518,338.0,341.0,170,3017,119.0,27.0,2.0,4.0,88.0,152.0,340.0,1747,9.0,15.0,27.0,20.0,33.0,71.0,92.0,14.0,23.0,18.0,41.0,7.0,13.0,100.0,54.0,108.0,137.0,21.0,15.0,71.0,336.0,0.5227272727272727,0.5411764705882353,0.5789473684210527,0.6,0.6060606060606061,0.5399239543726235,0.4444444444444444,0.5272727272727272,0.5821917808219178,0.46551724137931033,0.5819672131147541,0.09210526315789473,0.07563025210084033,20.023557126030624,0.14634146341463414,0.14405594405594405,0.1896551724137931,0.4524714828897338,0.015209125475285171,0.5,0.6666666666666666,1.0,0.4909090909090909,0.8745247148288974,0.5959562737642584,0.5416617647058826,0.5955690909090909,0.07941176470588235,0.2088235294117647,3.1519736842105255,0.22548365577051369,13.0,40.0,1.0,5.0,71.0,36.0,111.0,2.0,12.0,105.0,71.0,0.9722222222222222,0.32432432432432434,0.16666666666666666,0.32432432432432434,0.4220532319391635,0.1520912547528517,0.325,0.3333333333333333,1.0,0.26996197718631176,0.18518518518518517,0.2,1.0,24.954054054054048,29.0,10.0,29.0,0.028409090909090908,0.04040404040404041,0.03902439024390244,0.11026615969581749,75.0,6.0,10.0,84.0,6.0,2.0,18.0,13.0,,48.0,40.0,70.0,0.05278592375366569,0.04897959183673469,0.6302521008403361,0.6818181818181818,0.48,0.37037037037037035,0.6,7.0,49.0,62.0,0.1416184971098266,0.12727272727272726,0.12371134020618557,0.25925925925925924,False,19.0,11.0,2.0,5.0,23.0,4.0,17.0,56.0,3.0,6.0,22.0,13.0,23.0,8.0,5.0,35.0,4.0,14.0,9.0,1.0,68.0,8.0,33.0,32.0,12.0,34.0,25.0,0.2727272727272727,0.7291666666666666,0.13157894736842105,0.008333333333333333,0.0625,0.1506849315068493,0.14859437751004015,0.7352941176470589,0.3793103448275862,0.44,0.7272727272727273,0.323943661971831,0.32857142857142857,0.9565217391304348,0.7037037037037037,0.09090909090909091,0.4,0.3090909090909091,0.23529411764705882,0.323943661971831,0.11764705882352941,0.1864406779661017,1.0,3.0,2.0,11.0,2.0,6.0,21.0,,1.0,2.0,2.0,0.018018018018018018,0.025,0.014084507042253521,0.037037037037037035,0.01652892561983471,0.3333333333333333,0.14285714285714285,1.0,3.0,2.0,1.0,1.0,,,2.0,2.0,6.0,0.13793103448275862,0.008928571428571428,7.0,20.0,0.25,1.0,4.0,1.0,2.0,1.0,1.0,0.03125,
