EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,Steals,LostBallSteals,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Fg2aBlocked,TwoPtAssists,ShortMidRangeAssists,ShootingFouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceFtPoints,PtsUnassisted3s,BadPassSteals,BadPassTurnovers,AtRimAssists,DefCorner3ReboundPct,ShortMidRangePctAssisted,on,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,Blocks,RecoveredBlocks,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,StepOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceCorner3FGA,LongMidRangeAssists,Charge Fouls,BlockedLongMidRange,DefensiveGoaltends,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,Corner3PctBlocked
1630545,1610612750,Terrence Shannon Jr.,Terrence Shannon Jr.,1630545,MIN,270.0,4,6.0,9,9,6,6,1.0,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,8.0,9.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,6,1.0,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.7,0.875,0.8,1.0,0.4,50.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.25,0.25,1.0,0.6,0.47797,0.481475,0.2,0.3333333333333333,1.0,10.666666666666666,24.200000000000003,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641740,1610612750,Jaylen Clark,Jaylen Clark,1641740,MIN,773.0,13,5.0,27,28,19,8,4.0,55,,,,,,,,1.0,,1.0,2.0,,,1.0,3.0,,3.0,33.0,,,,2.0,,,,3.0,2.0,,,,,,,,,,19,1.0,0.3333333333333333,,0.3333333333333333,,,0.5,,0.5,,1.0,9.67741935483871,,,,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,0.5,,1.0,0.5039,0.522225,,,,,24.366666666666664,0.7037037037037037,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641763,1610612750,Julian Phillips,Julian Phillips,1641763,MIN,815.0999999999999,14,5.0,28,29,20,9,5.0,57,2.0,1.0,,,,,,,,,1.0,,2.0,1.0,1.0,,3.0,33.0,,1.0,1.0,1.0,,3.0,,3.0,1.0,,,,1.0,,,,,3.0,20,1.0,1.0,1.0,1.0,,,0.5,0.75,0.5,0.75,0.3333333333333333,8.823529411764705,,,,0.6666666666666666,,,,,,,,,,,0.3333333333333333,0.5,,,1.0,0.5629333333333334,0.56805,,,1.0,2.15,25.2,0.7142857142857143,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.0,1.0,1.0,0.4761,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642866,1610612750,Joan Beringer,Joan Beringer,1642866,MIN,720.0999999999999,12,5.0,25,26,20,9,4.0,51,4.0,4.0,,1.0,,,,,,,,3.0,5.0,,,3.0,9.0,28.0,3.0,5.0,,,3.0,9.0,2.0,,,2.0,3.0,6.0,,2.0,4.0,,1.0,9.0,20,,,,,0.6,0.6,0.6,0.6,0.6428571428571429,0.6428571428571429,,30.0,0.2857142857142857,0.375,0.3333333333333333,0.8,0.2,,,,,,,,,,,0.8,,,0.8,0.6636200000000001,0.6636200000000001,0.16666666666666666,0.16666666666666666,1.0,1.8199999999999998,,0.8,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,0.5,0.5,0.2,,,,,,0.5394,0.2222222222222222,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,0.5,0.3,1.0,0.3333333333333333,1.0,1.0,0.75,0.75,0.6666666666666666,1.0,0.5,0.75,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204060,1610612750,Joe Ingles,Joe Ingles,204060,MIN,815.0999999999999,14,5.0,28,29,20,9,5.0,57,,,,,,,,,,,3.0,,,2.0,3.0,1.0,7.0,33.0,,,2.0,3.0,1.0,7.0,,3.0,3.0,1.0,1.0,2.0,,1.0,2.0,,,7.0,20,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,1.0,0.875,0.875,1.0,14.705882352941176,0.125,0.1111111111111111,0.14285714285714285,,,,,,,,,,,,1.0,,,,1.0,0.5052,0.5052,,,1.0,,25.233333333333334,0.7142857142857143,2.0,3.0,2.0,,,,,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,,,2.0,,,1.0,,,,,,,0.5,,,,,,0.6666666666666666,,0.14285714285714285,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,0.2,0.08333333333333333,,0.25,,,,,,,,,1.0,3.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612750,Kyle Anderson,Kyle Anderson,203937,MIN,640.0999999999999,11,-1.0,22,23,14,3,5.0,45,,,3.0,4.0,,1.0,,,,,,3.0,5.0,,,2.0,8.0,29.0,1.0,2.0,,,1.0,3.0,4.0,,,2.0,2.0,3.0,1.0,3.0,6.0,,3.0,3.0,14,,,,,0.6,0.5,0.6,0.5,0.5,0.375,,28.57142857142857,0.3333333333333333,0.2857142857142857,0.2,,0.8,0.75,0.75,0.2,,,,,,,,,,,,0.42706,0.42305,0.375,0.375,0.375,8.059999999999999,,0.6363636363636364,,,,2.0,4.0,2.0,,10.0,,,,,,,,,,,,,2.0,,2.0,,,,0.5,0.5,,,,,,,,0.25,,,,,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,,0.3333333333333333,0.5,0.5,,,,,0.2,0.09090909090909091,,0.25,,,,,,,,,,,,,2.0,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201144,1610612750,Mike Conley,Mike Conley,201144,MIN,42.1,1,,1,1,1,1,1.0,2,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,1,,,,,,,,,,,1.0,33.333333333333336,,,,,,,,,,,,,,,1.0,,,,1.0,0.47625,0.47625,,,,,24.5,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628978,1610612750,Donte DiVincenzo,Donte DiVincenzo,1628978,MIN,5771.2,96,45.0,206,209,49,69,17.0,415,6.0,4.0,,3.0,,,4.0,7.0,2.0,3.0,16.0,5.0,9.0,11.0,23.0,,43.0,201.0,4.0,4.0,4.0,5.0,,20.0,2.0,33.0,16.0,11.0,15.0,15.0,10.0,4.0,2.0,,1.0,20.0,48,1.0,0.4782608695652174,0.8,0.4782608695652174,0.5555555555555556,1.0,0.671875,1.1111111111111112,0.6515151515151515,1.0,0.71875,16.444444444444443,0.1896551724137931,0.1388888888888889,0.21428571428571427,0.1875,0.09375,,,,,,0.21875,0.5714285714285714,0.5714285714285714,1.0,0.5,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.90625,0.5881218749999999,0.6706166666666667,0.030303030303030304,0.1,0.46511627906976744,4.277777777777778,25.58695652173913,0.23786407766990292,7.0,2.0,7.0,5.0,16.0,3.0,2.0,37.0,7.0,1.0,0.4375,0.4375,1.0,0.2222222222222222,0.4375,,1.0,2.0,,1.0,,1.0,11.0,1.0,7.0,,,,0.1111111111111111,,0.5,,,1.0,0.413,,5.0,,,4.0,,1.0,8.0,,,,4.0,,2.0,,4.0,,,,0.8,0.8,,0.3333333333333333,0.5,0.08,,,,,,,0.06666666666666667,0.8333333333333334,0.8333333333333334,0.8,,,1.0,,,6.0,2.0,10.0,0.125,,False,2.0,1.0,1.0,1.0,1.0,0.08695652173913043,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629675,1610612750,Naz Reid,Naz Reid,1629675,MIN,13840.400000000001,231,13.0,472,474,183,209,70.0,946,21.0,6.0,12.0,28.0,,1.0,10.0,15.0,3.0,5.0,22.0,26.0,50.0,16.0,37.0,6.0,106.0,533.0,6.0,13.0,7.0,13.0,2.0,35.0,20.0,39.0,22.0,15.0,56.0,67.0,29.0,15.0,11.0,3.0,6.0,35.0,182,0.8125,0.43243243243243246,0.5384615384615384,0.43243243243243246,0.52,0.46153846153846156,0.5747126436781609,0.6346153846153846,0.5824175824175825,0.625,0.42528735632183906,18.996415770609318,0.15,0.21973094170403587,0.13924050632911392,0.2413793103448276,0.3218390804597701,0.42857142857142855,0.4444444444444444,0.011494252873563218,,,0.1724137931034483,0.6666666666666666,0.6666666666666666,1.0,0.25287356321839083,0.23076923076923078,0.19230769230769232,0.6,0.6666666666666666,0.5429045977011494,0.5393999999999999,0.06666666666666667,0.11320754716981132,0.330188679245283,5.482000000000002,24.82162162162162,0.3877118644067797,6.0,8.0,6.0,10.0,18.0,5.0,5.0,46.0,3.0,1.0,0.2727272727272727,0.2727272727272727,0.5,0.3076923076923077,0.2727272727272727,,,4.0,,,12.0,6.0,8.0,3.0,24.0,,0.625,0.6666666666666666,0.12,0.23809523809523808,,,,0.5,0.5560625,0.11320754716981132,14.0,3.0,3.0,3.0,5.0,8.0,32.0,8.0,1.0,9.0,34.0,11.0,10.0,5.0,15.0,8.0,1.0,1.0,0.6153846153846154,0.7272727272727273,0.625,0.03571428571428571,0.6666666666666666,0.2764227642276423,0.06569343065693431,0.01,0.04219409282700422,0.13333333333333333,,0.047619047619047616,0.2608695652173913,0.6666666666666666,0.875,0.5714285714285714,0.375,1.0,0.5,2.0,9.0,2.0,5.0,5.0,0.19047619047619047,0.6666666666666666,False,5.0,1.0,1.0,,1.0,0.20754716981132076,0.4583333333333333,1.0,7.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,0.5384615384615384,0.09090909090909091,0.1111111111111111,0.025974025974025976,0.02564102564102564,0.75,,,,,,,,,,,,,,,,,,,,,,,
1630162,1610612750,Anthony Edwards,Anthony Edwards,1630162,MIN,12554.199999999999,209,-40.0,441,439,155,163,47.0,880,29.0,12.0,12.0,22.0,4.0,20.0,1.0,3.0,,,45.0,35.0,71.0,14.0,48.0,24.0,136.0,489.0,14.0,26.0,6.0,15.0,9.0,55.0,54.0,33.0,45.0,27.0,44.0,47.0,20.0,22.0,29.0,4.0,15.0,55.0,154,0.7857142857142857,0.2916666666666667,0.4,0.2916666666666667,0.49295774647887325,0.5384615384615384,0.47058823529411764,0.5609756097560976,0.5152671755725191,0.5978260869565217,0.40336134453781514,29.11646586345381,0.2571428571428571,0.19457013574660634,0.2535211267605634,0.24369747899159663,0.18487394957983194,0.5454545454545454,0.6,0.16806722689075632,0.2,0.2,0.025210084033613446,0.3333333333333333,0.3333333333333333,1.0,0.37815126050420167,0.2926829268292683,,,0.6470588235294118,0.5258714285714288,0.5223829268292683,0.11538461538461539,0.18292682926829268,0.40441176470588236,9.143661971830985,26.10208333333333,0.35147392290249435,13.0,15.0,13.0,13.0,21.0,6.0,7.0,55.0,1.0,,0.28888888888888886,0.28888888888888886,0.7692307692307693,0.36585365853658536,0.28888888888888886,1.0,1.0,6.0,1.0,1.0,16.0,5.0,8.0,2.0,8.0,1.0,0.8125,0.8,0.07042253521126761,0.10344827586206896,0.125,1.0,1.0,0.4,0.5102571428571429,0.11764705882352941,19.0,3.0,3.0,9.0,5.0,7.0,16.0,4.0,,3.0,16.0,3.0,8.0,2.0,14.0,7.0,1.0,1.0,0.22857142857142856,0.24242424242424243,0.7142857142857143,0.09090909090909091,0.5714285714285714,0.13793103448275862,0.0234375,,0.013574660633484163,0.04,,,0.1282051282051282,0.6551724137931034,0.7307692307692307,0.3157894736842105,0.375,1.0,0.75,3.0,9.0,1.0,6.0,6.0,0.2647058823529412,0.16666666666666666,False,6.0,1.0,1.0,,1.0,0.11764705882352941,0.19230769230769232,,1.0,2.0,,2.0,3.0,1.0,7.0,,4.0,,7.0,3.0,0.08333333333333333,,0.024390243902439025,0.016129032258064516,0.03125,0.42857142857142855,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1630183,1610612750,Jaden McDaniels,Jaden McDaniels,1630183,MIN,18723.6,312,-21.0,638,640,147,174,95.0,1278,34.0,10.0,26.0,59.0,7.0,13.0,1.0,9.0,,4.0,20.0,57.0,106.0,5.0,29.0,23.0,152.0,700.0,11.0,20.0,2.0,10.0,8.0,36.0,46.0,15.0,20.0,15.0,32.0,56.0,39.0,31.0,28.0,5.0,13.0,34.0,143,1.0,0.1724137931034483,0.2,0.1724137931034483,0.5377358490566038,0.55,0.4777777777777778,0.4666666666666667,0.5205479452054794,0.5294117647058824,0.21481481481481482,21.36181575433912,0.10273972602739725,0.10231023102310231,0.11214953271028037,0.2518518518518518,0.43703703703703706,0.4406779661016949,0.5,0.0962962962962963,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.1111111111111111,0.1111111111111111,1.0,0.14814814814814814,0.3333333333333333,0.13333333333333333,,0.4666666666666667,0.5135777777777777,0.5435583333333334,0.09090909090909091,0.11403508771929824,0.23684210526315788,7.659433962264152,24.820689655172416,0.2304075235109718,4.0,6.0,4.0,7.0,24.0,4.0,3.0,55.0,5.0,2.0,0.2,0.2,1.0,0.2,0.2,1.0,4.0,2.0,1.0,6.0,31.0,8.0,17.0,6.0,19.0,0.16666666666666666,0.5961538461538461,0.5961538461538461,0.07547169811320754,0.029411764705882353,0.15384615384615385,0.25,1.0,0.3333333333333333,0.4902868421052632,0.20394736842105263,24.0,5.0,7.0,7.0,14.0,20.0,68.0,10.0,10.0,12.0,16.0,24.0,6.0,1.0,14.0,2.0,3.0,2.0,0.5964912280701754,0.6538461538461539,0.7,0.11864406779661017,0.42857142857142855,0.10191082802547771,0.06091370558375635,0.07407407407407407,0.06626506024096386,0.030303030303030304,0.07476635514018691,0.07142857142857142,0.12727272727272726,0.7058823529411765,0.7272727272727273,0.75,0.2692307692307692,0.7142857142857143,0.7,,,3.0,5.0,10.0,0.07692307692307693,0.5,False,8.0,2.0,1.0,6.0,3.0,0.0547945205479452,0.1724137931034483,2.0,1.0,5.0,1.0,1.0,1.0,2.0,7.0,,4.0,,7.0,4.0,0.08333333333333333,0.07692307692307693,,0.11,0.07692307692307693,0.5714285714285714,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.6,0.07692307692307693,,,,,,,,,,,,
