EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyFtPoints,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,Fg3aBlocked,Charge Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Travels,Blocked3s,BlockedArc3,DefensiveGoaltends,Corner3PctBlocked,Defensive 3 Seconds Violations,on
1627936,1610612760,Alex Caruso,Alex Caruso,1627936,OKC,12208.300000000001,203,88,412,412,178.0,163,46.0,824,10.0,18.0,1.0,6.0,9.0,3.0,4.0,1.0,2.0,13.0,23.0,1.0,2.0,6.0,12.0,10.0,25.0,1.0,1.0,3.0,7.0,14.0,24.0,23.0,48.0,6.0,103.0,432,2.0,3.0,2.0,3.0,2.0,12.0,6.0,9.0,9.0,19.0,39.0,16.0,12.0,66.0,3.0,2.0,25.0,10.0,1.0,13.0,5.0,18.0,3.0,2.0,8.0,4.0,1.0,41.0,3.0,2.0,13.0,16.0,1.0,30.0,5.0,35.0,15.0,11.0,4.0,5.0,4.0,2.0,2.0,1.0,7.0,2.0,4.0,14.0,24.0,2.0,10.0,1.0,1.0,3.0,9.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,39.0,176.0,2.0,0.5714285714285714,0.6153846153846154,0.9565217391304348,0.4791666666666667,0.6666666666666666,0.47368421052631576,0.4791666666666667,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6736111111111112,0.8333333333333334,0.6964285714285714,0.6776315789473685,0.8571428571428571,0.6964285714285714,0.6666666666666666,0.041666666666666664,0.05555555555555555,17.735042735042736,0.7142857142857143,0.1,0.17204301075268819,0.02247191011235955,0.13402061855670103,0.02830188679245283,0.15263157894736842,0.02564102564102564,0.03571428571428571,0.02564102564102564,0.025974025974025976,0.034482758620689655,0.15625,0.17073170731707318,0.2,0.14492753623188406,0.10714285714285714,0.5,0.25,0.5555555555555556,0.5882352941176471,0.7,0.05555555555555555,0.75,0.75,0.3333333333333333,0.027777777777777776,0.5,0.5,0.3194444444444444,0.5652173913043478,0.5652173913043478,1.0,0.3472222222222222,0.4,0.4,0.9,0.16666666666666666,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,0.32142857142857145,0.6666666666666666,0.42857142857142855,0.5,0.25,0.42857142857142855,0.9166666666666666,0.4,0.5786375,0.5061625,0.6197589285714284,0.05263157894736842,0.1111111111111111,0.02040816326530612,0.11650485436893204,0.3786407766990291,4.195833333333334,24.756249999999998,0.4320388349514563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1628392,1610612760,Isaiah Hartenstein,Isaiah Hartenstein,1628392,OKC,11300.6,188,22,377,376,86.0,70,52.0,753,16.0,21.0,9.0,4.0,6.0,18.0,27.0,1.0,2.0,,,,,,,,1.0,,,,1.0,35.0,50.0,,1.0,16.0,86.0,437,6.0,11.0,,,7.0,19.0,6.0,8.0,,1.0,17.0,58.0,12.0,,,10.0,1.0,,5.0,11.0,8.0,19.0,5.0,3.0,8.0,2.0,1.0,46.0,10.0,15.0,23.0,20.0,1.0,44.0,27.0,71.0,6.0,5.0,1.0,7.0,6.0,8.0,1.0,1.0,15.0,3.0,1.0,7.0,26.0,8.0,16.0,,4.0,,22.0,10.0,,6.0,4.0,2.0,6.0,4.0,17.0,85.0,3.0,0.8285714285714286,0.9666666666666667,,,,,,0.7,0.5454545454545454,0.75,0.6862745098039216,0.5454545454545454,0.6666666666666666,0.6935483870967742,0.5588235294117647,0.6538461538461539,0.0196078431372549,0.1,0.14285714285714285,17.741935483870968,0.4666666666666667,0.14285714285714285,0.23529411764705882,0.1744186046511628,0.23711340206185566,0.136986301369863,0.23626373626373626,0.15723270440251572,0.2631578947368421,0.15789473684210525,0.14583333333333334,0.12,0.17647058823529413,0.34285714285714286,0.125,0.2465753424657534,0.20833333333333334,0.6666666666666666,0.4117647058823529,0.7619047619047619,0.8888888888888888,0.6875,0.5294117647058824,0.6666666666666666,0.6923076923076923,0.9444444444444444,0.0392156862745098,0.5,1.0,,,,,0.0196078431372549,,,,0.8181818181818182,,,,,,0.6666666666666666,0.6666666666666666,,,0.1111111111111111,,0.43137254901960786,,0.5377450980392157,0.575225,0.5350222222222222,0.16393442622950818,0.16666666666666666,,0.22093023255813954,0.19767441860465115,6.412000000000002,26.6,0.22811671087533156,4.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,0.037037037037037035,0.5,0.2222222222222222,0.13793103448275862,0.09090909090909091,1.0,0.4444444444444444,,,,,,,,,,,,,,,,,,True
1628983,1610612760,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,1628983,OKC,26146.000000000007,436,66,873,871,279.0,258,107.0,1744,31.0,47.0,3.0,11.0,16.0,36.0,68.0,26.0,66.0,2.0,4.0,,1.0,,1.0,12.0,42.0,2.0,6.0,6.0,22.0,93.0,181.0,14.0,46.0,104.0,332.0,989,6.0,12.0,2.0,7.0,10.0,28.0,32.0,57.0,6.0,23.0,130.0,44.0,142.0,18.0,24.0,4.0,42.0,12.0,8.0,43.0,54.0,97.0,34.0,20.0,28.0,15.0,,248.0,3.0,2.0,15.0,16.0,1.0,32.0,5.0,37.0,14.0,6.0,8.0,23.0,11.0,12.0,3.0,12.0,35.0,,8.0,14.0,29.0,1.0,92.0,,2.0,3.0,117.0,42.0,1.0,11.0,10.0,1.0,11.0,5.0,128.0,277.0,1.0,0.23655913978494625,0.24175824175824176,0.42857142857142855,0.30434782608695654,0.2857142857142857,0.2608695652173913,0.30434782608695654,0.5138121546961326,0.5,0.5614035087719298,0.5022026431718062,0.47368421052631576,0.5125,0.5899280575539568,0.5833333333333334,0.6213592233009708,0.2026431718061674,0.04419889502762431,0.0425531914893617,31.425702811244978,0.6571428571428571,0.05555555555555555,0.07692307692307693,0.009950248756218905,0.07042253521126761,0.014563106796116505,0.07363420427553444,0.012285012285012284,,0.011627906976744186,0.02040816326530612,,0.1,0.07317073170731707,0.043478260869565216,0.061224489795918366,0.09090909090909091,0.45454545454545453,0.20704845814977973,0.6595744680851063,0.6888888888888889,0.3870967741935484,0.29955947136563876,0.5294117647058824,0.5538461538461539,0.19444444444444445,0.2907488986784141,0.3939393939393939,0.4126984126984127,0.01762114537444934,0.5,0.5,0.5,0.18502202643171806,0.2857142857142857,0.2926829268292683,0.4166666666666667,0.15789473684210525,0.05263157894736842,,,0.3157894736842105,0.3333333333333333,0.2,0.6875,0.0125,,0.275,0.2727272727272727,0.40969162995594716,0.2857142857142857,0.5143348017621143,0.5610700000000001,0.5157918749999999,0.16412213740458015,0.19534883720930232,0.02127659574468085,0.08433734939759036,0.39156626506024095,10.316022099447514,26.16956521739131,0.31958762886597936,3.0,48.0,,2.0,3.0,3.0,16.0,15.0,0.04411764705882353,0.045454545454545456,,0.016666666666666666,0.018018018018018018,0.11538461538461539,1.0,1.0,1.0,8.0,4.0,0.021739130434782608,0.023809523809523808,0.6666666666666666,1.0,,,,,,,,,,True
1629652,1610612760,Luguentz Dort,Luguentz Dort,1629652,OKC,14654.199999999999,244,-5,472,479,95.0,105,57.0,951,2.0,4.0,,1.0,2.0,4.0,6.0,,,3.0,11.0,1.0,2.0,,2.0,11.0,34.0,3.0,5.0,4.0,7.0,6.0,10.0,14.0,45.0,2.0,56.0,584,,,4.0,7.0,,12.0,1.0,3.0,4.0,9.0,15.0,10.0,2.0,42.0,,,34.0,11.0,,10.0,7.0,17.0,5.0,2.0,3.0,6.0,1.0,41.0,5.0,2.0,11.0,11.0,,22.0,7.0,29.0,5.0,4.0,1.0,3.0,,4.0,1.0,3.0,7.0,2.0,,13.0,29.0,1.0,7.0,,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,15.0,94.0,3.0,0.8333333333333334,0.8333333333333334,1.0,0.3111111111111111,0.5714285714285714,0.4444444444444444,0.3111111111111111,0.6,,0.3333333333333333,0.4909090909090909,0.8571428571428571,0.5833333333333334,0.49122807017543857,0.8571428571428571,0.5769230769230769,0.8181818181818182,,,11.91806331471136,0.42857142857142855,,0.09565217391304348,0.018018018018018018,0.08270676691729323,0.052083333333333336,0.08870967741935484,0.033816425120772944,0.07407407407407407,,0.07352941176470588,,0.025,0.10416666666666667,0.18518518518518517,0.07291666666666667,0.10810810810810811,1.0,0.07272727272727272,0.5,0.5,1.0,0.10909090909090909,0.6666666666666666,0.6666666666666666,0.75,,,,0.2,0.2727272727272727,0.2727272727272727,1.0,0.6181818181818182,0.3235294117647059,0.3235294117647059,1.0,,0.2857142857142857,0.5,1.0,0.7142857142857143,0.6,0.16666666666666666,0.5,0.16666666666666666,,0.5833333333333334,0.5714285714285714,0.8909090909090909,0.3235294117647059,0.5600209090909091,0.59215,0.5882541666666666,0.017857142857142856,0.09090909090909091,,0.21428571428571427,0.26785714285714285,6.99,25.47555555555555,0.20127118644067796,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,True
1641717,1610612760,Cason Wallace,Cason Wallace,1641717,OKC,12533.699999999997,209,-5,418,432,142.0,129,55.0,850,8.0,12.0,1.0,3.0,4.0,2.0,7.0,,2.0,8.0,15.0,,1.0,1.0,4.0,10.0,21.0,2.0,3.0,2.0,3.0,10.0,21.0,18.0,36.0,3.0,77.0,481,,1.0,2.0,4.0,,6.0,4.0,6.0,3.0,7.0,19.0,14.0,6.0,54.0,,,21.0,10.0,2.0,8.0,5.0,13.0,4.0,1.0,4.0,4.0,,31.0,8.0,6.0,14.0,5.0,1.0,20.0,14.0,34.0,20.0,9.0,11.0,2.0,2.0,3.0,,,5.0,,1.0,8.0,21.0,,5.0,,1.0,1.0,4.0,1.0,,2.0,1.0,,2.0,,19.0,142.0,4.0,0.7,0.7,1.0,0.5,0.5,0.42857142857142855,0.5,0.47619047619047616,,0.6666666666666666,0.6491228070175439,0.6,0.6538461538461539,0.652542372881356,0.6,0.6785714285714286,0.631578947368421,0.09523809523809523,0.08333333333333333,13.305613305613306,0.4,0.09090909090909091,0.052083333333333336,0.061855670103092786,0.13725490196078433,0.06896551724137931,0.09595959595959595,0.06572769953051644,0.1111111111111111,0.02564102564102564,0.08641975308641975,0.02857142857142857,0.07894736842105263,0.05128205128205128,,0.16417910447761194,0.08571428571428572,,0.21052631578947367,0.6666666666666666,0.7272727272727273,0.75,0.12280701754385964,0.2857142857142857,0.3333333333333333,0.5,0.03508771929824561,,,0.2631578947368421,0.5333333333333333,0.5333333333333333,1.0,0.3684210526315789,0.47619047619047616,0.47619047619047616,1.0,0.2,0.2,,,0.6,0.6666666666666666,0.3076923076923077,0.75,0.3076923076923077,0.25,0.23076923076923078,0.6666666666666666,0.8421052631578947,0.47619047619047616,0.5676789473684211,0.57135,0.5703730769230769,0.017241379310344827,0.045454545454545456,,0.07792207792207792,0.24675324675324675,5.547619047619047,24.87222222222222,0.3397129186602871,,2.0,,2.0,,3.0,1.0,1.0,0.14285714285714285,,,0.06451612903225806,0.07692307692307693,,,,,,,,,,1.0,1.0,,,,,,,,,True
1642272,1610612760,Jared McCain,Jared McCain,1642272,OKC,4914.1,82,30,169,158,64.0,75,25.0,327,5.0,7.0,1.0,3.0,3.0,2.0,7.0,,1.0,2.0,5.0,,,,,5.0,16.0,,,1.0,5.0,7.0,15.0,7.0,21.0,4.0,39.0,176,1.0,1.0,,,,2.0,3.0,4.0,1.0,5.0,13.0,10.0,4.0,21.0,,,16.0,5.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,3.0,,5.0,3.0,,8.0,3.0,11.0,1.0,,1.0,1.0,,3.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0,1.0,2.0,,,,4.0,,,,,,,,13.0,63.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.3333333333333333,,0.2,0.3333333333333333,0.4666666666666667,1.0,0.75,0.4861111111111111,1.0,0.5,0.5131578947368421,1.0,0.5909090909090909,0.5833333333333334,0.13333333333333333,0.14285714285714285,21.53846153846154,0.25,,0.08823529411764706,,0.13157894736842105,0.06818181818181818,0.1111111111111111,0.03529411764705882,,,0.0967741935483871,,0.1111111111111111,,0.14285714285714285,0.17391304347826086,0.06666666666666667,,0.19444444444444445,0.7142857142857143,0.8333333333333334,0.6,0.19444444444444445,0.2857142857142857,0.3333333333333333,1.0,0.027777777777777776,,,0.1388888888888889,0.4,0.4,1.0,0.4444444444444444,0.3125,0.3125,1.0,1.0,,,,,,0.3333333333333333,1.0,,,0.5555555555555556,0.2,0.7777777777777778,0.3125,0.541926388888889,0.7798,0.5642722222222223,,,,0.05128205128205128,0.3333333333333333,6.493333333333333,25.547619047619047,0.378698224852071,1.0,4.0,,2.0,,1.0,2.0,1.0,0.14285714285714285,,,,0.1,,1.0,,,,,,,1.0,,,1.0,,,,,,,,True
1642349,1610612760,Ajay Mitchell,Ajay Mitchell,1642349,OKC,12418.999999999998,207,82,410,404,157.0,122,44.0,814,11.0,16.0,,3.0,8.0,10.0,24.0,4.0,7.0,3.0,11.0,,,2.0,5.0,5.0,16.0,,2.0,3.0,7.0,25.0,47.0,8.0,27.0,17.0,91.0,452,,2.0,,2.0,2.0,2.0,6.0,17.0,5.0,12.0,36.0,16.0,34.0,21.0,3.0,,16.0,5.0,2.0,16.0,9.0,25.0,5.0,4.0,8.0,7.0,1.0,59.0,6.0,3.0,8.0,7.0,,15.0,9.0,24.0,10.0,4.0,6.0,8.0,2.0,1.0,,6.0,9.0,1.0,3.0,4.0,12.0,1.0,17.0,1.0,1.0,2.0,18.0,6.0,1.0,1.0,1.0,,1.0,1.0,34.0,155.0,2.0,0.32,0.32,0.875,0.2962962962962963,,0.4166666666666667,0.2962962962962963,0.5319148936170213,,0.35294117647058826,0.5,,0.46551724137931033,0.5548780487804879,0.2,0.5294117647058824,0.36486486486486486,0.0425531914893617,,19.569892473118276,0.8888888888888888,,0.06862745098039216,0.0379746835443038,0.09090909090909091,0.07142857142857142,0.07894736842105263,0.05521472392638037,,0.06060606060606061,0.1016949152542373,,0.07894736842105263,0.02631578947368421,0.11538461538461539,0.1111111111111111,0.04,1.0,0.21621621621621623,0.6875,0.6875,0.36363636363636365,0.32432432432432434,0.4166666666666667,0.45454545454545453,0.4,0.0945945945945946,0.5714285714285714,0.5714285714285714,0.14864864864864866,0.2727272727272727,0.2727272727272727,1.0,0.21621621621621623,0.3125,0.3125,0.8,,,,,0.5,,0.27586206896551724,0.375,0.1724137931034483,0.4,0.2413793103448276,0.42857142857142855,0.581081081081081,0.3125,0.5125067567567566,0.3724833333333333,0.5013258620689656,0.08860759493670886,0.11538461538461539,0.037037037037037035,0.02197802197802198,0.3956043956043956,7.421276595744681,25.096296296296302,0.3829268292682927,,9.0,,1.0,1.0,,3.0,2.0,0.08333333333333333,,,0.043478260869565216,0.02631578947368421,,,,,1.0,,,,,,,,1.0,,,,,,,True
1630198,1610612760,Isaiah Joe,Isaiah Joe,1630198,OKC,3756.8,63,-8,135,129,62.0,47,18.0,264,2.0,2.0,,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,,1.0,,,3.0,14.0,1.0,2.0,2.0,8.0,5.0,7.0,4.0,16.0,,22.0,150,,1.0,1.0,3.0,,3.0,3.0,4.0,2.0,8.0,12.0,10.0,,12.0,,,14.0,3.0,,2.0,4.0,6.0,2.0,2.0,2.0,,,16.0,,1.0,3.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,2.0,,,2.0,,,2.0,,,3.0,8.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,12.0,62.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.25,0.7142857142857143,,0.75,0.4782608695652174,0.375,0.5,0.4782608695652174,0.375,0.5,0.6956521739130435,,,15.92356687898089,,0.2,0.03333333333333333,0.029411764705882353,0.09375,,0.06451612903225806,0.014084507042253521,,0.06666666666666667,,,,,0.16666666666666666,0.047619047619047616,0.18181818181818182,,0.08695652173913043,1.0,1.0,1.0,0.13043478260869565,0.6666666666666666,0.6666666666666666,1.0,0.08695652173913043,0.5,0.5,0.08695652173913043,0.5,0.5,1.0,0.6086956521739131,0.21428571428571427,0.23076923076923078,1.0,,0.25,,,0.5,0.5,0.08333333333333333,1.0,,,0.6666666666666666,0.25,0.782608695652174,0.21428571428571427,0.521386956521739,0.518225,0.49710416666666674,,,,0.13636363636363635,0.5454545454545454,10.87142857142857,25.98125,0.45925925925925926,,,,,,2.0,,,,,,,,1.0,,1.0,,,,0.0625,0.07142857142857142,,1.0,,,,,,,,,,True
1630598,1610612760,Aaron Wiggins,Aaron Wiggins,1630598,OKC,1888.5,31,-8,65,64,24.0,33,7.0,129,,1.0,,,1.0,1.0,1.0,,1.0,,4.0,,,,,,1.0,,,,,1.0,3.0,,5.0,,2.0,69,,,,,,,,1.0,,,,,2.0,,,,1.0,,2.0,,3.0,3.0,1.0,2.0,,,,9.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,24.0,,,,,,,,,0.3333333333333333,,,0.125,,,0.125,,,0.625,0.6666666666666666,1.0,11.267605633802818,,,0.11764705882352941,,,,0.06896551724137931,,,,,,0.25,0.1111111111111111,,,,1.0,0.125,,,,0.125,1.0,1.0,,0.125,,,0.5,,,,0.125,,,,,,,,,,1.0,,,,,,0.75,,0.530675,,0.6227,,,,,,7.433333333333334,23.560000000000002,0.36923076923076925,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True
1631096,1610612760,Chet Holmgren,Chet Holmgren,1631096,OKC,17390.800000000003,290,23,574,579,155.0,143,73.0,1153,34.0,40.0,16.0,13.0,16.0,6.0,16.0,1.0,9.0,5.0,12.0,,,,2.0,9.0,23.0,1.0,4.0,2.0,6.0,41.0,65.0,14.0,35.0,25.0,149.0,682,14.0,20.0,1.0,4.0,6.0,37.0,13.0,21.0,2.0,8.0,43.0,54.0,28.0,39.0,3.0,20.0,23.0,9.0,3.0,5.0,7.0,12.0,6.0,1.0,2.0,2.0,1.0,31.0,5.0,14.0,22.0,31.0,4.0,57.0,20.0,77.0,7.0,5.0,2.0,4.0,1.0,5.0,1.0,3.0,9.0,2.0,3.0,15.0,21.0,1.0,28.0,,9.0,1.0,30.0,11.0,,11.0,8.0,3.0,12.0,6.0,43.0,154.0,2.0,0.6585365853658537,0.8709677419354839,0.9285714285714286,0.4,0.25,0.25,0.4,0.6307692307692307,0.7,0.6190476190476191,0.62,0.6458333333333334,0.5517241379310345,0.6535087719298246,0.6851851851851852,0.5972222222222222,0.35,0.046153846153846156,0.075,18.636363636363637,0.4444444444444444,0.3333333333333333,0.20945945945945946,0.10294117647058823,0.15602836879432624,0.04,0.18339100346020762,0.07279693486590039,0.22857142857142856,0.06896551724137931,0.033707865168539325,0.05555555555555555,0.12698412698412698,0.23076923076923078,0.3333333333333333,0.14583333333333334,0.17777777777777778,0.5,0.4,0.85,0.918918918918919,0.6764705882352942,0.16,0.375,0.375,0.5,0.09,0.1111111111111111,0.1111111111111111,0.12,0.4166666666666667,0.45454545454545453,1.0,0.23,0.391304347826087,0.42857142857142855,0.8888888888888888,0.6666666666666666,,,,0.16666666666666666,0.25,0.5517241379310345,0.8125,0.06896551724137931,,0.20689655172413793,0.3333333333333333,0.75,0.391304347826087,0.557299,0.5633675000000001,0.556648275862069,0.10091743119266056,0.14864864864864866,,0.2483221476510067,0.28859060402684567,5.364615384615385,24.93142857142857,0.2700348432055749,12.0,11.0,1.0,1.0,,,5.0,3.0,,,0.07692307692307693,0.046511627906976744,0.02702702702702703,1.0,0.75,3.0,,2.0,,0.08571428571428572,0.08695652173913043,0.08333333333333333,1.0,,1.0,,3.0,1.0,1.0,1.0,0.08333333333333333,,True
1631114,1610612760,Jalen Williams,Jalen Williams,1631114,OKC,4309.9,72,15,147,145,27.0,29,19.0,292,5.0,12.0,2.0,1.0,1.0,5.0,13.0,1.0,1.0,,2.0,,,,,5.0,9.0,1.0,1.0,2.0,3.0,11.0,26.0,5.0,11.0,5.0,42.0,159,,3.0,1.0,1.0,,3.0,3.0,4.0,2.0,3.0,12.0,4.0,18.0,12.0,3.0,,9.0,5.0,5.0,3.0,5.0,8.0,1.0,4.0,2.0,1.0,,21.0,1.0,3.0,5.0,1.0,1.0,7.0,4.0,11.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,2.0,,6.0,,1.0,,7.0,4.0,,1.0,1.0,,1.0,1.0,12.0,27.0,,0.18181818181818182,0.18181818181818182,0.8,0.45454545454545453,1.0,0.6666666666666666,0.45454545454545453,0.4230769230769231,,0.75,0.5,0.375,0.8571428571428571,0.525,0.375,0.8571428571428571,0.2972972972972973,0.19230769230769232,0.25,25.74850299401198,0.6666666666666666,0.3333333333333333,0.034482758620689655,0.06666666666666667,0.125,0.03333333333333333,0.08695652173913043,0.05333333333333334,0.06666666666666667,0.09523809523809523,0.043478260869565216,,0.08333333333333333,,,0.11538461538461539,0.14285714285714285,1.0,0.32432432432432434,0.4166666666666667,0.5555555555555556,,0.35135135135135137,0.38461538461538464,0.45454545454545453,0.4,0.02702702702702703,1.0,1.0,0.05405405405405406,,,,0.24324324324324326,0.5555555555555556,0.5555555555555556,0.8,0.5,,,,0.25,1.0,0.14285714285714285,1.0,,,0.42857142857142855,0.6666666666666666,0.6216216216216216,0.5555555555555556,0.5394837837837837,0.46487500000000004,0.5027071428571428,0.1,0.13793103448275862,,0.07142857142857142,0.2857142857142857,6.200000000000001,25.299999999999997,0.1836734693877551,,,,,,,,,0.15384615384615385,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,True
1629026,1610612760,Kenrich Williams,Kenrich Williams,1629026,OKC,657.5,11,-1,24,26,18.0,24,2.0,50,,,,,,,,,1.0,2.0,2.0,,,2.0,2.0,,1.0,,,,1.0,,1.0,2.0,3.0,,6.0,25,,,,,,,,1.0,2.0,3.0,6.0,,,6.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,6.0,18.0,2.0,,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,,,0.75,,0.75,0.75,,0.75,0.75,,,16.0,,,,,0.25,,0.07692307692307693,,,,,,,,,,0.3333333333333333,,,,,,,,,,0.25,,,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,0.5,1.0,0.25,,0.75,,0.503575,,0.503575,,,,,1.0,17.1,23.666666666666668,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
