EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,NonHeaveArc3FGM,LostBallSteals,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,LongMidRangeFGM,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls,Offensive Fouls,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,AtRimPctBlocked,OffLongMidRangeReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangeAssists,BlockedAtRim,3SecondViolations,on,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,HeaveAttempts,Transition Take Fouls,Defensive 3 Seconds Violations
1626171,1610612749,Bobby Portis,Bobby Portis,1626171,MIL,1059.0,18,3.0,38,40,28,7.0,5,78,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,7.0,48,2.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,5.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,28,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.4,0.5833333333333334,0.5,0.5,19.047619047619047,0.5,0.3333333333333333,0.16666666666666666,0.5555555555555556,0.5,0.07142857142857142,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2,1.0,0.2,0.4,0.6666666666666666,0.5453749999999999,0.56495,0.16666666666666666,0.3333333333333333,0.7142857142857143,5.3,26.166666666666668,0.7368421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1626192,1610612749,Pat Connaughton,Pat Connaughton,1626192,MIL,1645.0,27,-13.0,61,62,28,12.0,10,123,1.0,2.0,,,,,4.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,8.0,69,,,3.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,5.0,1.0,6.0,,,,,,,,5.0,4.0,,1.0,2.0,28,,,0.5,,0.35714285714285715,,0.4444444444444444,0.25,0.7142857142857143,12.5,,0.16666666666666666,0.06666666666666667,0.15384615384615385,0.16,0.034482758620689655,0.1111111111111111,,0.16666666666666666,,0.2857142857142857,0.5,0.5,,,,,0.5714285714285714,0.14285714285714285,,,0.6666666666666666,0.3333333333333333,1.0,0.56705,0.5569500000000001,0.125,0.3333333333333333,0.25,1.15,23.799999999999997,0.45901639344262296,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.5883,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1628960,1610612749,Grayson Allen,Grayson Allen,1628960,MIL,3339.0,56,6.0,123,124,23,17.0,16,247,1.0,1.0,,,,1.0,3.0,,6.0,1.0,1.0,2.0,9.0,3.0,17.0,141,,,1.0,,,2.0,,6.0,,2.0,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,4.0,3.0,,1.0,,23,1.0,1.0,0.5,,0.6363636363636364,,0.7083333333333334,,0.8181818181818182,9.859154929577466,0.5,0.034482758620689655,,0.08,0.05555555555555555,,,,0.047619047619047616,0.25,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,,,0.2727272727272727,0.5454545454545454,,,,1.0,0.9090909090909091,0.5421181818181818,0.56025,0.16666666666666666,0.3333333333333333,,4.8,25.633333333333336,0.18699186991869918,,,1.0,4.0,,,,,12.0,,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,4.0,,,1.0,,,1.0,0.4444444444444444,0.4444444444444444,,,,,0.06666666666666667,0.3333333333333333,0.3333333333333333,1.0,,,0.56025,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201950,1610612749,Jrue Holiday,Jrue Holiday,201950,MIL,4277.0,71,2.0,158,156,64,37.0,18,314,3.0,4.0,2.0,2.0,1.0,4.0,5.0,2.0,8.0,2.0,4.0,10.0,13.0,6.0,23.0,169,2.0,3.0,4.0,5.0,12.0,4.0,4.0,8.0,,5.0,8.0,13.0,,13.0,1.0,,1.0,,2.0,,2.0,4.0,8.0,,1.0,12.0,64,0.5,0.5,0.4,0.6666666666666666,0.3695652173913043,0.5,0.42592592592592593,0.6,0.5652173913043478,16.201117318435752,0.5,0.21052631578947367,,0.14705882352941177,0.18055555555555555,,,0.3333333333333333,0.10714285714285714,0.3333333333333333,0.17391304347826086,0.75,0.75,0.6666666666666666,0.17391304347826086,0.25,0.3333333333333333,0.21739130434782608,0.34782608695652173,0.2857142857142857,1.0,0.2857142857142857,0.2857142857142857,0.7391304347826086,0.5074608695652174,0.46935714285714286,0.041666666666666664,0.09090909090909091,0.5217391304347826,8.26,25.115384615384617,0.4050632911392405,,,2.0,3.0,,,2.0,2.0,6.0,,3.0,8.0,2.0,19.0,,2.0,2.0,1.0,4.0,,1.0,,3.0,3.0,0.6666666666666666,0.23076923076923078,0.23076923076923078,,,0.5,,0.15789473684210525,0.4,0.4,0.5,,,,0.08695652173913043,1.0,,1.0,1.0,,,,0.125,0.125,1.0,,0.125,,2.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.25,0.5,0.23076923076923078,1.0,0.08695652173913043,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
203507,1610612749,Giannis Antetokounmpo,Giannis Antetokounmpo,203507,MIL,5487.0,91,-16.0,200,201,74,41.0,24,401,23.0,32.0,7.0,11.0,4.0,12.0,,,3.0,,28.0,50.0,3.0,14.0,70.0,232,9.0,18.0,,3.0,21.0,24.0,32.0,3.0,3.0,9.0,12.0,25.0,8.0,33.0,6.0,3.0,8.0,1.0,14.0,1.0,8.0,22.0,31.0,5.0,17.0,21.0,74,0.42857142857142855,0.5,0.56,0.5,0.5283018867924528,0.5,0.5303030303030303,0.5,0.05660377358490566,35.242290748898675,0.42857142857142855,0.2553191489361702,0.061224489795918366,0.225,0.2413793103448276,0.07865168539325842,0.10526315789473684,0.4,0.23529411764705882,0.16666666666666666,0.6037735849056604,0.71875,0.71875,0.43478260869565216,0.22641509433962265,0.3333333333333333,0.4,,0.05660377358490566,0.6111111111111112,0.6363636363636364,,,0.660377358490566,0.5483056603773585,0.5401333333333334,0.26153846153846155,0.27419354838709675,0.3,5.4079999999999995,26.266666666666666,0.37,5.0,5.0,,,5.0,6.0,,10.0,,8.0,9.0,16.0,7.0,41.0,4.0,1.0,,2.0,9.0,,1.0,,1.0,1.0,,,,0.8333333333333334,0.7142857142857143,0.625,0.6666666666666666,0.30434782608695654,,,,0.7142857142857143,1.0,0.53095,0.14285714285714285,,1.0,1.0,,1.0,,,,,,0.14285714285714285,,,6.0,,,,,2.0,7.0,2.0,6.0,1.0,,3.0,1.0,1.0,2.0,1.0,,0.04,0.16666666666666666,,0.07142857142857142,0.5,0.11320754716981132,,,1.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.1,0.058823529411764705,0.0967741935483871,0.1111111111111111,0.08695652173913043,0.25,0.16666666666666666,0.16666666666666666,1.0,0.2,,,,,,,,True,,,,,,,,,,,,,,
203114,1610612749,Khris Middleton,Khris Middleton,203114,MIL,4579.0,76,-10.0,165,166,60,31.0,18,331,,5.0,,1.0,6.0,9.0,,,14.0,8.0,8.0,20.0,14.0,13.0,44.0,190,3.0,8.0,8.0,9.0,21.0,2.0,14.0,14.0,2.0,6.0,5.0,11.0,4.0,15.0,4.0,2.0,2.0,1.0,6.0,,2.0,8.0,13.0,,2.0,21.0,60,0.125,0.125,0.4,0.375,0.45588235294117646,0.375,0.55,0.525,0.4117647058823529,24.864864864864863,0.6666666666666666,0.11904761904761904,0.04878048780487805,0.18181818181818182,0.14666666666666667,0.05714285714285714,,0.125,0.17857142857142858,0.2,0.14705882352941177,,,,0.2647058823529412,0.6666666666666666,0.6666666666666666,,0.4117647058823529,0.0625,,,0.5,0.5588235294117647,0.486135294117647,0.474884375,0.08108108108108109,0.09090909090909091,0.4772727272727273,10.374999999999998,26.37857142857143,0.36363636363636365,,2.0,,5.0,1.0,4.0,2.0,4.0,6.0,,4.0,13.0,1.0,30.0,,1.0,1.0,6.0,11.0,1.0,,,3.0,3.0,0.4,0.35714285714285715,0.35714285714285715,0.25,0.2,0.3333333333333333,,0.19047619047619047,,,,0.4,,0.45375000000000004,0.09090909090909091,5.0,1.0,1.0,5.0,,,1.0,0.35714285714285715,0.35714285714285715,0.4,0.2,0.35714285714285715,0.06666666666666667,6.0,,2.0,2.0,9.0,2.0,9.0,3.0,8.0,1.0,,2.0,,,,,0.25,0.1,,,,,0.17647058823529413,,0.25,2.0,2.0,,2.0,,,1.0,,,,,,0.06896551724137931,0.07692307692307693,0.08333333333333333,,0.10526315789473684,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,0.4,0.08333333333333333,,,,,,True,,,,,,,,,,,,,,
1628975,1610612749,Jevon Carter,Jevon Carter,1628975,MIL,271.0,5,-1.0,9,11,7,5.0,1,20,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7777777777777778,,,,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
202083,1610612749,Wesley Matthews,Wesley Matthews,202083,MIL,1329.0,22,-9.0,45,48,29,24.0,4,93,,1.0,,1.0,,1.0,,,4.0,4.0,,2.0,4.0,,9.0,54,,1.0,4.0,,9.0,,,4.0,,,,,,,,,,,,,,1.0,,,,9.0,29,,,,,0.75,0.9,0.75,0.9,0.6666666666666666,11.538461538461538,,,,,,,,,,,0.16666666666666666,,,,0.16666666666666666,,,,0.6666666666666666,0.2,,,0.8,0.8333333333333334,0.5118333333333334,0.52942,,,1.0,6.25,26.825,0.6444444444444445,,,,3.0,,,,,9.0,,,,,,,2.0,1.0,2.0,2.0,,,1.0,,,1.0,0.75,0.75,,,,,,,,,,,0.4914,,3.0,1.0,1.0,3.0,1.0,,,0.75,0.75,1.0,1.0,0.75,,,,3.0,3.0,,1.0,,,,,,,,,,,0.75,0.5,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,
204060,1610612749,Joe Ingles,Joe Ingles,204060,MIL,1325.0,22,-20.0,46,47,14,,7,93,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,6.0,64,,,1.0,,3.0,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,3.0,14,,,,,1.0,1.5,1.0,1.5,0.6666666666666666,7.4074074074074066,,0.07692307692307693,,,0.05263157894736842,0.043478260869565216,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,0.6666666666666666,0.5343666666666667,0.60765,,,0.5,22.1,25.5,0.30434782608695654,,,1.0,2.0,,,,,6.0,,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,,0.1,,,0.25,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,
201572,1610612749,Brook Lopez,Brook Lopez,201572,MIL,4124.0,69,-22.0,155,150,43,31.0,17,305,6.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,8.0,,7.0,12.0,10.0,3.0,32.0,178,2.0,2.0,1.0,1.0,8.0,12.0,2.0,8.0,5.0,2.0,4.0,7.0,6.0,13.0,3.0,3.0,3.0,,6.0,1.0,1.0,5.0,4.0,,1.0,8.0,43,0.8571428571428571,1.0,0.5833333333333334,1.0,0.6590909090909091,1.1666666666666667,0.6666666666666666,1.0,0.45454545454545453,17.441860465116278,0.5,0.10256410256410256,0.1282051282051282,0.07407407407407407,0.09090909090909091,0.07352941176470588,0.14285714285714285,0.125,0.07692307692307693,,0.4090909090909091,0.6666666666666666,0.75,0.8333333333333334,0.09090909090909091,0.5,0.5,0.09090909090909091,0.36363636363636365,0.6666666666666666,1.0,0.3333333333333333,,0.8636363636363636,0.5597545454545455,0.5929666666666668,0.043478260869565216,0.07692307692307693,0.25,3.966666666666667,25.93,0.27741935483870966,1.0,2.0,2.0,5.0,1.0,2.0,3.0,5.0,15.0,2.0,,1.0,,2.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.25,0.05263157894736842,1.0,1.0,1.0,0.6666666666666666,0.5,0.63665,0.15625,3.0,1.0,1.0,3.0,1.0,,,0.375,0.375,1.0,0.3333333333333333,0.375,,1.0,,,1.0,,1.0,1.0,,,,,,3.0,,3.0,2.0,1.0,0.08333333333333333,,,0.16666666666666666,0.6666666666666666,0.045454545454545456,,,,,1.0,,2.0,,,,,,,0.2,,0.15384615384615385,,,,1.0,,,,,0.1111111111111111,0.08333333333333333,1.0,1.0,1.0,3.0,1.0,True,,,,,,,,,,,,,,
1626171,1610612749,Bobby Portis,Bobby Portis,1626171,MIL,5380.0,90,-2.0,182,185,25,31.0,21,367,5.0,6.0,2.0,2.0,6.0,12.0,8.0,1.0,7.0,1.0,12.0,20.0,15.0,2.0,41.0,226,5.0,5.0,2.0,,13.0,16.0,8.0,7.0,2.0,10.0,13.0,25.0,9.0,34.0,1.0,,1.0,,2.0,,,4.0,2.0,,1.0,13.0,25,0.6666666666666666,0.7272727272727273,0.6,1.0,0.5571428571428572,0.9285714285714286,0.5694444444444444,0.9285714285714286,0.42857142857142855,18.446601941747574,0.5,0.30952380952380953,0.06060606060606061,0.3225806451612903,0.3150684931506849,0.10344827586206896,0.125,0.36363636363636365,0.2962962962962963,0.5,0.17142857142857143,0.8333333333333334,0.8333333333333334,0.6,0.34285714285714286,0.5,0.5,0.22857142857142856,0.2,0.2857142857142857,1.0,0.14285714285714285,0.14285714285714285,0.6,0.5358414285714286,0.5584714285714286,0.027777777777777776,0.047619047619047616,0.3170731707317073,8.15,24.773333333333333,0.13736263736263737,1.0,2.0,2.0,5.0,1.0,4.0,,2.0,15.0,2.0,5.0,6.0,5.0,17.0,2.0,3.0,2.0,7.0,15.0,2.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.25,0.2,0.2,0.4,0.38095238095238093,0.25,0.25,1.0,0.4,0.5,,0.04878048780487805,3.0,,1.0,3.0,1.0,,,0.42857142857142855,0.42857142857142855,1.0,,0.42857142857142855,,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,,2.0,1.0,0.5,,,,0.1,0.5,0.05714285714285714,0.2,1.0,1.0,7.0,,1.0,,,1.0,,,,3.0,,0.12962962962962962,0.05263157894736842,0.10256410256410256,0.2,0.05555555555555555,0.6666666666666666,0.5,0.5,1.0,,,,,,,2.0,,False,1.0,,,,,,,,,,,,,
1626192,1610612749,Pat Connaughton,Pat Connaughton,1626192,MIL,3656.0,61,-8.0,124,124,15,28.0,13,248,5.0,5.0,2.0,2.0,,,7.0,,11.0,2.0,5.0,5.0,18.0,,40.0,154,2.0,2.0,2.0,,7.0,6.0,4.0,11.0,,5.0,6.0,11.0,3.0,14.0,2.0,1.0,,,2.0,,,,,,,7.0,15,0.6,0.75,1.0,1.0,0.8695652173913043,0.875,0.8695652173913043,0.875,0.782608695652174,17.857142857142858,1.0,0.24,,0.22727272727272727,0.23404255319148937,0.04477611940298507,,0.2857142857142857,0.3125,,0.21739130434782608,1.0,1.0,0.6,,,,0.30434782608695654,0.4782608695652174,0.5,1.0,,0.5,1.0,0.5800043478260869,0.560025,,,0.175,1.78,25.199999999999996,0.12096774193548387,1.0,1.0,3.0,10.0,1.0,1.0,,5.0,30.0,2.0,3.0,6.0,1.0,15.0,,2.0,2.0,5.0,6.0,,,,,,1.0,0.5555555555555556,0.5555555555555556,1.0,0.8333333333333334,0.8333333333333334,,,0.42857142857142855,0.42857142857142855,1.0,0.3333333333333333,1.0,0.4995,0.125,7.0,1.0,2.0,7.0,,,,0.6363636363636364,0.6363636363636364,1.0,0.3333333333333333,0.6363636363636364,,,1.0,1.0,1.0,,,3.0,2.0,2.0,1.0,,1.0,,,1.0,1.0,0.5,,,,0.4444444444444444,1.0,,0.3333333333333333,0.5,,3.0,,,,,,,1.0,1.0,,,0.08571428571428572,,0.08333333333333333,0.09090909090909091,,,,,,,,,,,,,,False,,1.0,1.0,0.5,1.0,1.0,,,,,,,,
1628960,1610612749,Grayson Allen,Grayson Allen,1628960,MIL,5616.0,94,-9.0,191,186,22,24.0,18,377,3.0,4.0,,,1.0,5.0,6.0,1.0,14.0,1.0,4.0,10.0,20.0,3.0,41.0,228,,,2.0,,3.0,8.0,,14.0,1.0,3.0,4.0,8.0,1.0,9.0,1.0,1.0,1.0,,2.0,,,7.0,4.0,,1.0,3.0,22,1.0,1.0,0.4,,0.6333333333333333,0.75,0.6451612903225806,0.75,0.6666666666666666,15.42056074766355,0.5,0.08,0.021739130434782608,0.1,0.0875,0.010869565217391304,0.09090909090909091,0.10526315789473684,0.11538461538461539,,0.13333333333333333,0.75,0.75,1.0,0.16666666666666666,0.2,0.3333333333333333,0.2,0.4666666666666667,,,0.5,0.5,0.8,0.539905,0.52575,0.06451612903225806,0.09090909090909091,0.07317073170731707,6.4799999999999995,26.075,0.11518324607329843,,,4.0,10.0,,,,3.0,30.0,,4.0,8.0,4.0,20.0,1.0,,,2.0,3.0,,1.0,2.0,,,1.0,0.5,0.5,,0.75,0.75,0.2,0.1,0.6666666666666666,0.6666666666666666,1.0,,,0.51135,0.07317073170731707,6.0,2.0,2.0,6.0,,1.0,1.0,0.42857142857142855,0.46153846153846156,1.0,1.0,0.42857142857142855,0.05,1.0,,,1.0,,2.0,4.0,,1.0,3.0,1.0,,,,,,0.5,0.2,0.4,,,,0.03333333333333333,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,False,,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.05,0.07142857142857142,,,,
1628975,1610612749,Jevon Carter,Jevon Carter,1628975,MIL,2685.0,45,-14.0,92,89,22,17.0,8,181,,,,,,1.0,2.0,1.0,5.0,2.0,1.0,2.0,7.0,,5.0,109,,1.0,3.0,,,2.0,,5.0,,2.0,2.0,4.0,,4.0,,,,,,,,2.0,,,,,22,1.0,1.0,0.5,,0.2777777777777778,,0.2777777777777778,,0.7777777777777778,9.0,,0.1111111111111111,,0.18181818181818182,0.13793103448275862,,,0.16666666666666666,0.2222222222222222,,,,,,0.1111111111111111,,,0.2222222222222222,0.5555555555555556,,,0.25,0.5,0.7777777777777778,0.5200222222222223,0.5278625,,,,10.8,25.171428571428567,0.2391304347826087,,,,1.0,,,,,3.0,,,3.0,,6.0,,1.0,1.0,,1.0,,,1.0,,,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,0.2,0.2,1.0,0.5,0.2,,1.0,1.0,,,,1.0,3.0,,2.0,,,,,,,,,0.5,1.0,,0.16666666666666666,,0.1111111111111111,0.5,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,False,,,,,,,,,,,,,,
203114,1610612749,Khris Middleton,Khris Middleton,203114,MIL,5805.0,97,23.0,197,196,24,28.0,18,393,9.0,12.0,1.0,1.0,5.0,15.0,3.0,,15.0,2.0,19.0,34.0,18.0,13.0,75.0,229,2.0,3.0,2.0,,4.0,18.0,20.0,15.0,2.0,6.0,8.0,14.0,3.0,17.0,9.0,5.0,2.0,,11.0,,2.0,13.0,17.0,3.0,10.0,4.0,24,0.47368421052631576,0.5294117647058824,0.5588235294117647,0.6666666666666666,0.5961538461538461,0.4,0.635593220338983,0.4,0.34615384615384615,31.818181818181817,0.8181818181818182,0.14285714285714285,0.044444444444444446,0.2,0.16279069767441862,0.03409090909090909,0.125,0.15,0.21428571428571427,,0.23076923076923078,0.75,0.8181818181818182,0.4444444444444444,0.28846153846153844,0.3333333333333333,0.35714285714285715,0.057692307692307696,0.28846153846153844,0.2,1.0,,0.4,0.5769230769230769,0.5042682692307692,0.51829,0.1694915254237288,0.24390243902439024,0.05333333333333334,9.076470588235296,25.805555555555557,0.1218274111675127,2.0,2.0,,8.0,3.0,3.0,,6.0,9.0,4.0,10.0,18.0,6.0,46.0,,2.0,2.0,1.0,4.0,,,,,,0.375,0.4444444444444444,0.4444444444444444,1.0,0.75,0.75,,0.2,,,,0.5,1.0,0.5006666666666667,0.08,8.0,,1.0,8.0,,,,0.5333333333333333,0.5333333333333333,0.375,,0.5333333333333333,,7.0,1.0,,,15.0,2.0,8.0,4.0,5.0,3.0,1.0,4.0,,,,,,0.058823529411764705,0.06666666666666667,,,,0.1346153846153846,0.25,,5.0,1.0,,1.0,,,1.0,,,,,,0.023255813953488372,0.03571428571428571,,0.07142857142857142,0.043478260869565216,0.8,0.7142857142857143,0.7142857142857143,0.2,,0.08333333333333333,,,,,,,False,,,,,,,,,,,,,,
