EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Charge Fouls Drawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,FTDefRebounds,SecondChanceTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,DefFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,LongMidRangeAssists,PenaltyTurnovers,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceFg2Pct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Loose Ball Fouls Drawn,Arc3PctBlocked,LostBallSteals,PtsPutbacks,OffCorner3ReboundPct,SecondChanceFtPoints,on,PenaltyCorner3FGM,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,HeaveAttempts,ShortMidRangeAssists,BlockedLongMidRange,Defensive 3 Seconds Violations,SelfOReb,SelfORebPct,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101128,1610612745,Francisco Garcia,Francisco Garcia,101128,HOU,2736.0,46,-1,89,90,22,45,12.0,179,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,5.0,6.0,1.0,1.0,3.0,5.0,7.0,10.0,2.0,29.0,101,1.0,1.0,3.0,1.0,2.0,2.0,6.0,21.0,6.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,22,2.0,1.0,1.0,1.0,1.0,0.7,1.0,0.7,0.6,0.9,1.5,0.90625,1.5,0.5,0.6666666666666666,17.0,1.0,0.07407407407407407,0.13333333333333333,0.09523809523809523,0.09090909090909091,0.14285714285714285,0.16666666666666666,1.0,0.13333333333333333,0.5,0.5,1.0,0.06666666666666667,0.13333333333333333,1.0,1.0,1.0,0.26666666666666666,0.5,0.5,1.0,0.4,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,0.5366466666666666,0.60645,0.10344827586206896,0.06896551724137931,11.82,24.07,0.24719101123595505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201166,1610612745,Aaron Brooks,Aaron Brooks,201166,HOU,4016.0,67,-3,131,134,31,71,17.0,265,4.0,8.0,12.0,2.0,5.0,,2.0,1.0,1.0,7.0,,,12.0,25.0,1.0,9.0,3.0,30.0,144,,1.0,,3.0,3.0,10.0,,,7.0,1.0,3.0,3.0,6.0,9.0,4.0,3.0,6.0,3.0,3.0,7.0,5.0,3.0,1.0,,,,1.0,1.0,1.0,10.0,31,,2.0,,,,0.1111111111111111,,0.1111111111111111,0.48,0.39705882352941174,,0.40540540540540543,,0.45454545454545453,0.2647058823529412,28.37837837837838,0.6666666666666666,0.07894736842105263,0.12,0.09523809523809523,0.14285714285714285,0.1,0.14285714285714285,1.0,0.23529411764705882,0.5,1.0,,0.35294117647058826,0.14705882352941177,0.4,0.4,,0.058823529411764705,,,,0.20588235294117646,0.14285714285714285,0.14285714285714285,,,,,0.125,0.5,0.14285714285714285,0.4506808823529412,0.43149374999999995,,0.3333333333333333,7.331999999999999,24.977777777777774,0.2366412213740458,1.0,6.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,24.0,3.0,4.0,1.0,7.0,4.0,11.0,2.0,2.0,7.0,26.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.4,0.4375,0.1111111111111111,0.16,0.5,0.5,0.05555555555555555,0.041666666666666664,0.05,0.06666666666666667,0.2,0.05555555555555555,0.5,0.5,0.5,0.125,0.25,0.5,0.39025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201600,1610612745,Omer Asik,Omer Asik,201600,HOU,1661.0,28,12,52,53,8,16,8.0,105,4.0,7.0,,,,,,,,,,,4.0,7.0,,,3.0,11.0,49,,,,,,,8.0,,,,3.0,3.0,7.0,8.0,,,2.0,2.0,3.0,2.0,4.0,,2.0,,,1.0,1.0,2.0,1.0,,8,,,1.0,1.0,,,,,0.5714285714285714,0.5714285714285714,,0.6111111111111112,,,,18.333333333333336,,0.16666666666666666,0.23076923076923078,0.1935483870967742,0.4,0.16666666666666666,0.18181818181818182,0.5,1.0,0.5714285714285714,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,1.0,,0.6477285714285713,,,,1.2285714285714284,,0.15384615384615385,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,0.14285714285714285,0.14285714285714285,,0.06666666666666667,,0.045454545454545456,,,,,,,,,,0.5709,1.0,1.0,1.0,1.0,2.0,0.5,0.2,0.5,1.0,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201935,1610612745,James Harden,James Harden,201935,HOU,2425.0,40,16,78,79,17,47,12.0,157,4.0,8.0,4.0,1.0,2.0,,,,2.0,5.0,1.0,1.0,6.0,14.0,2.0,5.0,10.0,28.0,80,1.0,1.0,5.0,2.0,3.0,12.0,,,5.0,2.0,3.0,2.0,6.0,7.0,3.0,1.0,4.0,3.0,5.0,7.0,12.0,,2.0,,,1.0,1.0,2.0,2.0,12.0,17,,,,,,0.4,1.0,0.4,0.42857142857142855,0.47368421052631576,0.625,0.5625,0.625,0.75,0.2631578947368421,30.769230769230766,0.75,0.09523809523809523,0.17647058823529413,0.13157894736842105,,0.125,0.125,1.0,0.42105263157894735,0.5,1.0,,0.21052631578947367,0.10526315789473684,0.5,0.5,,,,,,0.2631578947368421,0.4,0.4,,0.25,1.0,,,0.6842105263157895,0.4,0.48291842105263155,0.4643,0.17857142857142858,0.42857142857142855,5.971428571428571,24.919999999999998,0.21794871794871795,1.0,1.0,,1.0,2.0,3.0,3.0,4.0,1.0,12.0,6.0,5.0,,2.0,3.0,5.0,3.0,,1.0,13.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,0.5,0.75,0.75,,0.35714285714285715,0.5,,0.041666666666666664,,0.02857142857142857,,,,0.25,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.5,0.48401249999999996,3.0,1.0,,1.0,6.0,0.3333333333333333,0.09090909090909091,1.0,0.75,0.25,0.3157894736842105,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.125,0.3333333333333333,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201976,1610612745,Patrick Beverley,Patrick Beverley,201976,HOU,1201.0,20,2,39,40,10,17,5.0,79,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,1.0,2.0,2.0,9.0,41,,,,1.0,2.0,2.0,,3.0,1.0,,2.0,1.0,3.0,4.0,,,,1.0,4.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,10,1.0,1.0,,,1.0,0.5,,0.5,1.0,0.875,,0.9,,0.5,0.5,11.363636363636363,,0.06666666666666667,0.3333333333333333,0.14285714285714285,,,0.5,1.0,,,,,0.25,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,0.25,,,,,,,,0.5,,0.4861375,0.51345,,0.2222222222222222,13.2,23.85,0.2564102564102564,,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.09090909090909091,,0.058823529411764705,,0.5,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
202718,1610612745,Chandler Parsons,Chandler Parsons,202718,HOU,2794.0,47,-4,88,93,15,43,13.0,181,2.0,3.0,4.0,,1.0,1.0,3.0,,2.0,6.0,1.0,3.0,2.0,8.0,3.0,9.0,1.0,14.0,103,1.0,4.0,3.0,2.0,,,4.0,9.0,6.0,2.0,3.0,3.0,6.0,6.0,,,3.0,4.0,4.0,5.0,2.0,,,,,,,,,,15,,,1.0,1.0,1.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.38235294117647056,0.375,0.3888888888888889,0.375,,0.5294117647058824,20.792079207920793,,0.13043478260869565,0.14285714285714285,0.13636363636363635,0.16666666666666666,0.14285714285714285,0.16666666666666666,,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.23529411764705882,0.058823529411764705,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.35294117647058826,0.3333333333333333,0.4,1.0,0.75,0.3333333333333333,1.0,,0.7058823529411765,0.3333333333333333,0.5024617647058823,0.47407499999999997,0.21428571428571427,,6.7375,24.955555555555556,0.17045454545454544,,,1.0,,2.0,,,,,,,2.0,1.0,1.0,3.0,4.0,1.0,2.0,,11.0,,,,,,,3.0,,1.0,,,,0.1111111111111111,0.25,,,,,,,,,,,0.25,,1.0,,0.542475,,,,,1.0,,,,,0.05555555555555555,0.1111111111111111,,,,1.0,1.0,,,,,0.5,0.1,,,2.0,1.0,1.0,1.0,0.16666666666666666,,,,,True,,,,,,,,,,,,,,,,,,
2568,1610612745,Carlos Delfino,Carlos Delfino,2568,HOU,1548.0,26,-11,49,53,9,26,4.0,102,,,,,,,,,2.0,3.0,,,,,2.0,3.0,1.0,7.0,54,,,,1.0,1.0,4.0,,3.0,3.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,3.0,,1.0,,,,,,,,,4.0,9,,,,,0.5,0.6666666666666666,,0.6666666666666666,,1.0,,1.0,,1.5,1.0,11.320754716981131,0.6666666666666666,0.23529411764705882,0.07692307692307693,0.16666666666666666,0.4,0.25,0.1,,,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,1.0,0.6666666666666666,0.5296,0.5706,,0.5714285714285714,,25.633333333333336,0.1836734693877551,,,,1.0,1.0,,,,1.0,,3.0,,,2.0,1.0,3.0,1.0,,2.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,1.5,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.125,,,,1.0,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,
202962,1610612745,Greg Smith,Greg Smith,202962,HOU,1363.0,23,-26,45,47,14,29,3.0,92,1.0,2.0,,,,,,,,,,,1.0,2.0,,,2.0,4.0,61,,,,,,,2.0,,,,1.0,1.0,2.0,2.0,,,,4.0,4.0,3.0,6.0,,2.0,,,1.0,1.0,2.0,1.0,,14,,,1.0,1.0,,,,,0.5,0.5,,0.4,,,,10.416666666666668,,0.08333333333333333,0.14285714285714285,0.10526315789473684,,,,0.5,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,0.41775,,,,2.5999999999999996,,0.3111111111111111,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,3.0,,,0.5,,0.6,0.6,,,,,,,,,,,0.25,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
203093,1610612745,Terrence Jones,Terrence Jones,203093,HOU,992.0,17,11,34,34,9,26,6.0,68,2.0,2.0,2.0,,,,,,,1.0,,,2.0,4.0,,1.0,,4.0,34,,,2.0,1.0,,2.0,2.0,,1.0,,,4.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,2.0,9,,,0.5,1.0,,,,,0.5,0.4,1.0,0.4,1.0,0.5,0.2,15.0,1.0,0.5,,0.3076923076923077,0.5,,,1.0,0.4,1.0,1.0,0.5,0.4,,,,,,,,,0.2,,,,,,,,0.6,,0.5606099999999999,0.609025,0.5,0.5,3.375,25.1,0.2647058823529412,1.0,,,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,,,3.0,1.0,1.0,2.0,,,,,,,,1.0,0.5,,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,,,0.5,0.5,,0.7235,1.0,2.0,,,,1.0,0.16666666666666666,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,0.6666666666666666,1.0,1.0,,,,,,,2.0,0.3333333333333333,,True,,,,,,,,,,,,,,,,,,
202341,1610612745,James Anderson,James Anderson,202341,HOU,755.0,13,-6,27,26,10,19,3.0,53,,,,,,,1.0,,,1.0,,1.0,,,,2.0,,,30,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,10,,,,,,,,,,,,,,,1.0,6.666666666666667,,,0.5,0.1111111111111111,,,0.5,,,,,,,,,,,0.5,,,,0.5,,,,1.0,,,,1.0,,0.646725,,,,,23.450000000000003,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
202700,1610612745,Donatas Motiejunas,Donatas Motiejunas,202700,HOU,285.0,5,4,11,10,5,10,2.0,21,2.0,2.0,,,,,,,,,,,2.0,2.0,,,1.0,5.0,9,,,3.0,,,2.0,2.0,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,2.0,5,,,0.5,1.0,,,,,1.0,1.0,1.0,1.25,1.5,1.0,,15.384615384615383,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,,0.7773,0.8392,0.6,0.4,1.0,,0.45454545454545453,1.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,0.25,0.16666666666666666,,,0.25,,,,1.0,,,,1.0,,,,1.0,,,,1.0,0.5,0.5,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,2.0,,1.0,True,,,,,,,,,,,,,,,,,,
202391,1610612745,Jeremy Lin,Jeremy Lin,202391,HOU,304.0,5,-9,12,11,5,6,,23,,1.0,,,,,,,,,,,,1.0,,,,,14,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,8.333333333333334,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.3138,,,,3.2,,0.4166666666666667,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
